Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Water Sanitation Hygiene,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Water Sanitation Hygiene,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Camp Coordination / Management,CM-01,C2 Population information management,"Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)",,Population,n/a,"Displacement site; type of displacement site (camps, spontaneous sites and collective centres) ; sex, age, disability, and other diversity concerns",No,Yes,"Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)",,,,n/a,Baseline,Estimation,
Camp Coordination / Management,CM-02,C2 Population information management,Number of displacement sites,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Type of displacement site (camps, spontaneous sites and collective centres)",No,Yes,Number of spontaneous displacement sites,,,,,Baseline,Number and Percentage (spontaneous),
Camp Coordination / Management,CM-03,C2 Population information management,Number and percentage of IDP population living in displacement sites that have been registered at the household level,,Population,"Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)","Displacement site; sex, age, disability, and other diversity concerns",Yes,Yes,Number of people registered by household registration living in displacement sites,,"Camp Management Toolkit (Chapters 5, 9)",,,Baseline,Number and Percentage (IDP),
Camp Coordination / Management,CM-04,C2 Population information management,Number and percentage of IDP populations living in displacement sites in urban areas.,,Population,Overall number of displacement sites identified/estimated in urban areas,"Displacement site; site type; population size.  If displacement sites vary significantly by size, it may be necessary to disaggregate by population size or displacement site type (eg collective centre/ spontaneous site) ; sex, age, disability, and other diversity concerns",No,No,Number of displaced people living in displacement sites in urban areas,,,,,Baseline,Number and Percentage,
Camp Coordination / Management,CM-05,C2 Population information management,Number and percentage of displacement sites in urban areas receiving urban site management services.,,Displacement sites,Overall number of displacement sites identified/estimated in urban areas,"Displacement site; site type; population size.  If displacement sites vary significantly by size, it may be necessary to disaggregate by population size or displacement site type (eg collective centre/ spontaneous site); sex, age, disability, and other diversity concerns of service users",Yes,No,Number of displacement sites in urban areas receiving urban site management services,,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-06,C2 Population information management,Estimated number and percentage of displaced persons in displacement sites without documentation,,Displaced persons,Total number of displaced persons,Type of registration documentation; Vulnerable persons by sex and age,No,No,Number of displaced persons without documentation,,"Camp Management Toolkit (Chapters 8, 9)",,,Baseline,Number and Percentage,
Camp Coordination / Management,CM-07,C2.1 CCCM Mechanisms,Number and percentage of displacement sites with established CCCM mechanisms,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Types of mechanisms (population statistics monitoring, self governance mechanisms, monitoring service provision) ; sex, age, disability, and other diversity concerns",Yes,Yes,Number of displacement sites with established CCCM mechanisms,,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-08,C2.1 CCCM Mechanisms,Number and percentage of displacement sites conducting IDP registration activities,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; sex, age, disability, and other diversity concerns of registered IDPs",Yes,No,Number and percentage of displacement sites conducting population registration,,Camp Management Toolkit (Chapter 7),,,Output,Number and Percentage,
Camp Coordination / Management,CM-09,C2.1 CCCM Mechanisms,Number and percentage of displacement sites where de-registration/ departure is monitored,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; sex, age, disability, and other diversity concerns of departed IDPs",Yes,No,Number of displacement sites where de-registration/ departure is monitored,,Camp Management Toolkit (Chapter 7),,,Output,Number and Percentage,
Camp Coordination / Management,CM-10,C1.2 CCCM Mechanisms,Number and percentage of displacement sites that have a formal dispute resolution and/or complaint mechanism including PSEA,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; organization/ community presence in dispute resolution programmes has balanced representation according to age, sex, other diversity concerns; dispute mechanism users broken down by sex, age, other diversity concerns",Yes,No,Number of displacement sites with organization/ community presence with programmes in dispute resolutions,,Camp Management Toolkit (Chapter 2),,,Output,Number and Percentage,
Camp Coordination / Management,CM-11,C1.2 CCCM Mechanisms,Number and percentage of displacement sites with representative governance structures,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Site management committee; Site management committee with minority/vulnerable group representation; governance structures should be broken down by age, sex, other diversity concerns",Yes,Yes,"Number of displacement sites with represnentative governance structures (age, sex & diversity)",,"Camp Management Toolkit (Chapters 3, 11)",,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-12,C3.3 CCCM Mechanisms,Number and Percentage of displacement sites with host community representation in governance structures,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; organization/ community presence  has balanced representation according to age, sex, disability, other diversity concerns",Yes,No,Number of displacement sites with host community representation in governamnce structures,,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-13,C2 Population information management,Number and Percentage of displacement sites that regularly collect demographic information disaggregated by sex and age to an agreed reporting cycle,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,Displacement site; age; sex,Yes,Yes,Number of displacement sites that regularly collect demographic information disaggrgated by sex and age,,Camp Management Toolkit (Chapter 8),,,Output,Number and Percentage,
Camp Coordination / Management,CM-14,C3.8 Access and Movement,Number and Percentage of displacement sites with restrictions on movement in and out of the displacement site,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Type of restriction (includes accessibility, national restrictions, security). NB: Accessibility may include logistics constraints, i.e. lack of roads, floods.",No,No,Percentage of displacement sites with restrictions on movement in and out of the displacement site,,Camp Management Toolkit (Chapter 8),,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-15,C3 Protection and services monitoring and coordination,Number and Percentage of displacement sites under threat of forced eviction.,,Displacement sites,Total number of displacement sites with threats of forced eviction,"Displacement site,",No,No,Number of displacement sites with advocacy activities against threats of forced evictions,,"Camp Management Toolkit (Chapters 2, 7, 8, 12)",,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-16,C3.8 Access and Movement,Number and Percentage of displacement sites with restricted humanitarian access,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Type of restriction (includes accessibility, national restrictions, security). NB: Accessibility may include logistics constraints, i.e. lack of roads, floods.",No,No,Number of displacement sites with restricted humanitarian access,,,,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-17,C3.4 Service Provision - Protection,Number and percentage of displacement sites where residents have access to law enforcement mechanisms,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; law enforcement mechanism; law enforcement structure representation and users should be broken down by age, sex,  disability, other diversity concerns",No,No,Number of displacement sites where residents have access to law enforcement mechanisms,,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-18,C3.11 Service Provision - Shelter,Number and percentage of displacement sites where all IDPs have access to shelter,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; shelter type; sex, age, other diversity concerns of IDPs who have access to shelter",Yes,No,Number of displacement sites where all IDPs have access to shelter,,Sphere: Shelter and settlement standard 1: Strategic planning,,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-19,C3.9 Service Provision - WASH &/or Shelter,"Number and Percentage of displacement sites with NFI needs, in which at least one NFI distribution has taken place in the last three months",,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; sex, age, other diversity concerns of NFI recipients",Yes,No,Number of displacement sites with NFI needs that have received at least one NFI distribution,,"Camp Management Toolkit (Chapter 14), Sphere: Non-food items standard 1",,,Output,Number and Percentage,
Camp Coordination / Management,CM-20,C3.2 Service Provision - WASH,Number and percentage of displacement sites where IDP population has access to potable water supply within walking distance.,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; Type of service; sex, age, other diversity concerns of those who have access to potable water",Yes,No,Number of displacement sites where IDP population has access to potable water supply within walking distance.,,"Sphere: Shelter and settlement standard 2, Sphere: Water supply standard 1: Access and water quantity",,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-21,C3.2 Service Provision - WASH,Number and percentage of displacement sites where IDP population has access to WASH infrastructure.,,,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; Type of service; sex, age, other diversity concerns of those who have access to WASH infrastructure",Yes,No,Number of displacement sites where IDP population has access to WASH infrastructure.,,Sphere WASH chapter,,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-22,C3.5 Service Provision - Food and Nutrition,Number and percentage of displacement sites with food/nutrition needs where at least one food distribution has taken place within the past month,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; Type of service; sex, age, other diversity concerns of food/nutrition recipients",Yes,No,Number of displacement sites with food/nutrition needs where at least one food distribution has taken place within the past month,,Sphere: Food security - food transfers standard 5: Targeting and distribution,,,Output,Number and Percentage,
Camp Coordination / Management,CM-23,C3.10 Service Provision - Health,Number and percentage of displacement sites that have functioning health services within walking distance that IDP populations can attend,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; Type of service; age, sex, other diversity concerns of those who have access to health services",Yes,No,Number of displacement sites that have functioning health services within walking distance that IDP populations can attend,,Sphere: Health systems standard 1: Health service delivery,,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-24,C3.6 Service Provision - Education,Number and percentage of displacement sites that have schools within walking distance that IDP children/youth can attend.,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement Site; Type of educational institution ; sex, age, other diversity concerns of children who have access to school",Yes,No,Number of displacement sites that have schools within walking distance that IDP children/youth can attend.,,INEE,,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-25,C3 Protection and services monitoring and coordination,Number and Percentage of displacement sites where common services are targetted to reach vulnerable groups,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Vulnerable group (disabled, elderly, singel headed household, children, etc)",Yes,No,Number of displacement sites with assistance targeting mechanisms in place,,Sphere Protection Principle 2: Access to impartial assistance,,,Output,Number and Percentage,
Camp Coordination / Management,CM-26,C3 Protection and services monitoring and coordination,Number and Percentage of displacement sites where specific services exist for vulnerable groups,,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; Vulnerable group (disabled, elderly, singel headed household, children)",Yes,No,"Number of displacement sites where specific services exist for vulnerable groups (minority groups, disabled, single headed household, elderly, children)",,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-27,C4.1 Return/ Relocation/ Integration,"Number and Percentage of displacement sites with active relocation, reintegration or return programmes.",,Displacement sites,Overall number of displacement sites identified/estimated of the emergency,"Displacement site; sex, age, other diversity concerns of programme participants",Yes,No,"Number of displacement sites with active relocation, resettlement or return programmes",,Camp Management Toolkit (Chapter 7),,,Output,Number and Percentage,
Camp Coordination / Management,CM-28,C2.2 Return/ Relocation/ Integration,Number and Percentage of displaced persons in displacement sites that cannot return,,Displaced persons,Total number of displaced persons that intend to return,Number of displaced persons; Intention of return; reason for inability to return; sex; age,Yes,No,Number of displaced persons that cannot return,,"Camp Management Toolkit (Chapters 7, 8, 9)",,,Outcome,Number and Percentage,
Camp Coordination / Management,CM-29,C3 Protection and services monitoring and coordination,Number and Percentage of spontaneous displacement sites where a site plan/ map has been created and is kept up to date.,,Displacement sites,Total number of spontaneous displacement sites,Type of displacement site,Yes,No,Number of spontaneous displacement sites with improvements in site planning and facilities,,,,,Output,Number and Percentage (spontaneous),
Camp Coordination / Management,CM-30,C1.1 Displacement Site Managers,Number and Percentage of displacement sites in natural disasters with national authorities as site managers,,Displacement sites,Total number of displacement sites in natural disasters,"Displacement site; Site management committee; National authority participation in site management committee; sex, age, other diversity concerns of site manager",Yes,No,Number of displacement sites with national authorities as site managers,,"Camp Management Toolkit (Chapters 1, 2)",,,Output,Number and Percentage,
Camp Coordination / Management,CM-31,C3.1 Displacement Site Managers,Number and Percentage of site managers with CCCM training,,Site managers,Total number of site managers,"Site manager; CCCM training; Training beneficiary type (Government, NGO, UN, other) ; sex, age, other diversity concerns of site manager with CCCM training",Yes,No,Number of site managers with CCCM training,,"Camp Management Toolkit (Chapters 1, 2)",,See Camp Management ToR to define who is a camp manager,Output,Number and Percentage,
Camp Coordination / Management,CM-32,C2 Population information management,Number of displacement sites where consultations with all strata of displaced populations take place about their needs to inform planning and programs,,Displacement sites,Total number of displacement sites,"Displacement site, vulnerable groups; age, sex, other diversity concerns of  consulted individuals",,No,Number of displacement sites where consultations with all strata of displaced populations about their needs occur,,"DTM, Sphere: Shelter and settlement standard 1: Strategic planning",,,Output,Number and Percentage,
Camp Coordination / Management,CM-33,C3 Protection and services monitoring and coordination,Percentage of site management personnel (including partners) that have undertaken the IASC Gender E-learning course.,,Site managers,Total number of site managers,"Site manager, partners; age, sex, other diversity concerns of those who have taken the IASC course",,No,Number of site managers that have completed the IASC Gender E-learning course,,,,,Output,Number and Percentage,
Camp Coordination / Management,CM-34,C3 Protection and services monitoring and coordination,"Number and percentage of displacement sites where gaps in services identified by site managers/DTM are referred, monitored and followed up for response",,Displacement sites,Total number of displacement sites,Displacement Site,Yes,Yes,"Number of displacement sites where gaps in services have been referred, monitored and followed up for response",,,,,Output,Number and Percentage,
Education,E-1-01,E1.1 Equal Access,Percentage of emergency affected children and youth (5-18 yrs old) attending learning spaces/schools in affected areas.,,Individual,Total # children and youth (5 - 18) in affected areas,"by geographic location (ie administrative boundary), age and sex, school type (sex/primary, secondary, tertiary), status of school facility (new, re-opened, damaged, unaffected),",Yes,Yes,# of emergency affected children and youth (5-18 yrs old) attending learning spaces/schools in affected areas (Proxy can be: # of children (5-18 years) enrolled in school within the affected area.  Or number of open facilities * average number of children at each facility),,INEE,,Specific to Country,"Baseline, Outcome",Children,
Education,E-1-02,E1.1 Equal Access,Percentage of emergency affected children (3-5 yrs old) attending ECD Spaces in affected areas,,Individual,Total # of children (3-5 yrs old) in affected areas,"by geographic location (ie administrative boundary), age and sex, school type (sex/primary, secondary, tertiary), status of school facility (new, re-opened, damaged, unaffected),",Yes,Yes,# of emergency affected children (3-5 yrs old) attending ECD (Child Friendly) Spaces in affected areas (Proxy can be number of open facilities * number of children in each facility),,INEE,,Specific to Country,"Baseline, Outcome",Children,
Education,E-1-03,E1.1 Equal Access,Percentage of affected schools/learning spaces in affected area,,Facility,Total # of school buildings/learning spaces in affected  area,"by geographic location, school type (sex/primary, secondary, tertiary), # classrooms , Damage category ((i) No Damage; (ii) Partially Damaged; (iii) Completely Destroyed); note if the school is co-ed, male or female",Yes,Yes,# of affected  school buildings/learning spaces,,INEE,,Specific to Country,"Baseline, Outcome",Schools/ Learning spaces,
Education,E-1-04,E1.1 Equal Access,Percentage and Number of Temporary Learning Spaces constructed in affected area,,Facility,Total # of Temporary Learning Spaces needed,"Geography location (ie administrative boundary), Type of school/learning space, # classrooms, # children & youth (by age and sex)",Yes,Yes,# of Temporary Learning Spaces constructed in affected area,,INEE,,Specific to Country,Output,Schools/ Learning spaces,
Education,E-1-05,E1.1 Equal Access,Percentage of schools/learning spaces used as shelters in affected area,,Facility,Total # of School/Learning Spaces in  affected area,"by geographic location ( ie administrative boundary) and school type (sex/primary, secondary, tertiary)",Yes,Yes,# of schools/learning spaces used as temporary shelters,,INEE,,Specific to Country,"Baseline, Outcome",Schools/ Learning spaces,
Education,E-1-06,E1.1 Equal Access,Percentage of damaged or occupied education facilities rehabilitated and reopened in affected area,,Facility,Total # of affected education facilities,"Geographic location ( ie admisitrative boundary), Type of school/learning space (sex /primary, secondary, tertiary) # classrooms, # of  children by age and sex",Yes,Yes,# affected education facilities rehabilitated,,"INEE, Sphere: Shelter and settlement standard 1: Strategic planning",,Specific to Country,Output,Education facilities,
Education,E-1-07,E1.1 Equal Access,Percentage of schools/learning spaces that lost learning materials,,Facility,Total # of affected schools/learning spaces,"by geographic location (ie administrative boundary), Type of school/learning space (sex/primary, secondary, tertiary), # classrooms",No,Yes,# of affected school buildings that lost learning materials,,INEE,,Specific to Country,Baseline,Schools/ Learning spaces,
Education,E-1-08,E1.1 Equal Access,Percentage of schools/learning spaces provided learning materials,,Facility,Total # of affected school buildings/learning spaces,"by geographic location ( ie administrative boundary), Type of school/learning space (sex/primary, secondary, tertiary), # classrooms",Yes,Yes,# of affected school buildings provided with learning materials,,INEE,,Specific to Country,Output,Schools/ Learning spaces,
