id,cluster,activity_type,activity_desc,activity_detail,indicator
47,ESNFI,Standard Winterization Assistance,Winter Clothing Package,Drought Response,# of people receiving the winterization standard package
48,ESNFI,Standard Winterization Assistance,Winter Clothing Package,Regular Activity,# of people receiving the winterization standard package
49,ESNFI,Standard Winterization Assistance,Winterization heating and fuel assistance,COVID-19 Response,# of people receiving the winterization standard package
50,ESNFI,Standard Winterization Assistance,Winterization heating and fuel assistance,Drought Response,# of people receiving the winterization standard package
51,ESNFI,Standard Winterization Assistance,Winterization heating and fuel assistance,Regular Activity,# of people receiving the winterization standard package
52,ESNFI,Standard Winterization Package,Provision of standard winterization package for fuel and heating,Regular Activity,# of people receiving the winterisation standard package for insulation
53,ESNFI,Standard Winterization Packages (blankets/clothing/heating),Provision of blankets,Regular Activity,# of people receiving the winterisation standard package
54,ESNFI,Standard Winterization Packages (blankets/clothing/heating),Provision of standard winter clothing kit,COVID-19 Response,
55,ESNFI,Standard Winterization Packages (blankets/clothing/heating),Provision of standard winter clothing kit,Regular Activity,
56,ESNFI,Standard Winterization Packages (blankets/clothing/heating),Provision of standard winterization package for fuel and heating,COVID-19 Response,# of people receiving the winterisation standard package for insulation
57,ESNFI,Standard Winterization Packages (blankets/clothing/heating),Provision of standard winterization package for fuel and heating,Regular Activity,# of people receiving the winterisation standard package for insulation
58,ESNFI,Transitional Shelter,Construction of an average sized family transitional shelter (1 bedroomed),Regular Activity,# of people receiving support to construct transitional shelters
59,ESNFI,Transitional Shelter,Construction of an average sized family transitional shelter (2 bedroomed),Regular Activity,# of people receiving support to construct transitional shelters
60,ESNFI,Upgrade/Repair of Shelters,Extensions of existing shelters,Regular Activity,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
61,ESNFI,Upgrade/Repair of Shelters,Repair/Upgrade of shelters with minor damage,Drought Response,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
62,ESNFI,Upgrade/Repair of Shelters,Repair/Upgrade of shelters with minor damage,Regular Activity,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
63,ESNFI,Upgrade/Repair of Shelters,Repair/Upgrade of shelters with severe damages,Regular Activity,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
64,ESNFI,Upgrade/Repair of Shelters,Upgrade/repair of damaged or existing shelters,Regular Activity,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
65,ESNFI,Upgrade/Repair of existing shelters,Repair/Upgrade of shelters with minor damage,Drought response,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
66,Education,ACCESS,Back to School Campaign conducted,,# of back to school campaign conducted
67,Education,ACCESS,Classrooms rehabilited,,# of classrooms rehabilited
68,Education,ACCESS,Desks provided to learners,,# of desks provided to learners
69,Education,ACCESS,Learners enrolled,,# of learners enrolled
70,Education,ACCESS,Marker Boards provided,,# of marker boards provided
71,Education,ACCESS,Tables provided to teachers,,# of tables provided to teachers
72,Education,ACCESS,Temporary Learning Space (TLS) constructed,,# of temporary learning space (tls) constructed
73,Education,ACTIVITIES,Children participating in clubs activities,,# of children participating in clubs activities
74,Education,ACTIVITIES,Schools that have children groups/clubs/recreation activities,,# of schools that have children groups/clubs/recreation activities
75,Education,CASH,Teachers/Volunteers receiving incentives/hardship allowance,,# of teachers/volunteers receiving incentives/hardship allowance
76,Education,COVID-19,School Principal/ TLS Administrator reached with awareness on Covid-19,,
77,Education,COVID-19,Tsangaya/Islamiyyah Teacher reached with awareness on Covid-19,,
78,Education,DISABILITY (ACCESS),Learners with disabilities enrolled,,# of learners with disabilities enrolled
79,Education,Education Awareness,Back to School Campaign,,
80,Education,Formal & Non-Formal School Establishment,Establishment of Temporary Classrooms (TCs),,
81,Education,LEARNING MATERIALS,"Learning pack (School Bags, Stationaries, Pencil, Ruler etc.)",,"# of learning pack (school bags, stationaries, pencil, ruler etc.)"
82,Education,LEARNING MATERIALS,School Text Books provided to Teachers,,# of school text books provided to teachers
83,Education,QUALITY,Teachers/Volunteers trained on School Record Keeping,,# of teachers/volunteers trained on school record keeping
84,Education,QUALITY,Teachers/Volunteers trained on Teaching at the Right Level (TaRL),,# of teachers/volunteers trained on teaching at the right level (tarl)
85,Education,SBMC,SBMC established,,# of sbmc established
86,Education,SBMC,SBMC members trained in Conflict Sensitive Education,,# of sbmc members trained in conflict sensitive education
87,Education,SBMC,SBMC members trained in Disaster Risk Reduction,,# of sbmc members trained in disaster risk reduction
88,Education,SBMC,SBMC members trained in Psychological First Aid,,# of sbmc members trained in psychological first aid
89,Education,SBMC,SBMC members trained in Psychosocial Support,,# of sbmc members trained in psychosocial support
90,Education,SBMC,SBMC members trained in school management,,# of sbmc members trained in school management
91,Education,SBMC,SBMC members trained on Child Protection in Emergencies,,# of sbmc members trained on child protection in emergencies
92,Education,SBMC,Schools with functional SBMCs,,# of schools with functional sbmcs
93,Education,TEACHERS,Teachers/Volunteers trained in Child Rights,,# of teachers/volunteers trained in child rights
94,Education,TEACHERS,Teachers/Volunteers trained in Conflict Disaster Risk Reduction (CDRR),,# of teachers/volunteers trained in conflict disaster risk reduction(cdrr)
95,Education,TEACHERS,Teachers/Volunteers trained in Gender Based Violence (GBV),,# of teachers/volunteers trained in gender based violence (gbv)
96,Education,TEACHERS,Teachers/Volunteers trained in Pedagogy,,# of teachers/volunteers trained in pedagogy
97,Education,TEACHERS,Teachers/Volunteers trained in Positive Discipline,,# of teachers/volunteers trained in positive discipline
98,Education,TEACHERS,Teachers/Volunteers trained in Psychosocial support (PSS),,# of teachers/volunteers trained in psychosocial support (pss)
99,Education,Teacher Training,Train Teachers in Psychosocial First Aid (PFA),,
100,Education,Teaching & Learning Materials Supplies,"Provision of Information, Education Communication Materials (IEC)",,
101,Education,WASH,Boreholes constructed,,# of boreholes constructed
102,Education,WASH,Hygiene / Dignity Kits,,# of hygiene / dignity kits
103,Education,WASH,Latrines / toilets provided in the school / learning centre / space,,# of latrines / toilets provided in the school / learning centre / space
104,Education,WASH,hand washing stations provided in the school / learning centre / space,,# of hand washing stations provided in the school / learning centre / space
105,EiEWG,Capacity Building,School Management SURA Training,,
106,EiEWG,Capacity Building,Teachers Recruitment,,
107,EiEWG,Capacity Building,Teachers Training,,
108,EiEWG,Capacity Building,Training EiEWG to Education Personnel,,
109,EiEWG,Education Awareness,Community/SMS sensitization,,
110,EiEWG,Formal & Non-Formal School Establishment,Establishment of New CBS/ALC (non-formal),,
111,EiEWG,Formal & Non-Formal School Establishment,Tents (24 sq.m),,
112,EiEWG,Protection Activities,Mine Reduction Education (MRE),,
113,EiEWG,Protection Activities,Psycho-Social Support (PSS),,
114,EiEWG,Quick Fixing/Repairing of Schools,Quick Fixing/Repairing of Schools,,
115,EiEWG,Teaching & Learning Materials Supplies,Classroom Kits,,
116,EiEWG,Teaching & Learning Materials Supplies,Provision of classroom equipment and teaching materials,,
117,EiEWG,Teaching & Learning Materials Supplies,Students Kits,,
118,EiEWG,Teaching & Learning Materials Supplies,Teacher Kits,,
119,EiEWG,Teaching & Learning Materials Supplies,Text Book Distribution,,
120,EiEWG,WASH in School,Hygiene Promotion,,
121,EiEWG,WASH in School,Latrines (Male & Female Latrines),,
122,EiEWG,WASH in School,Potable Water/Drinking Water Supply,,
123,FSAC,Accountability to Affected Population,Food Assitance within a week Resolved Calls,,# of calls related to food assistance responded to and resolved within a week.
124,FSAC,Agriculture Based Livelihood Support,Fertilizer Distribution - CBT,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
125,FSAC,Agriculture Based Livelihood Support,Fertilizer Distribution - In Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
126,FSAC,Agriculture Based Livelihood Support,Kitchen Gardening,,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
127,FSAC,Agriculture Based Livelihood Support,Kitchen Gardening,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
128,FSAC,Agriculture Based Livelihood Support,Other Seed Distribution - CBT,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
129,FSAC,Agriculture Based Livelihood Support,Other Seed Distribution - In Kind,,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
130,FSAC,Agriculture Based Livelihood Support,Other Seed Distribution - In Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
131,FSAC,Agriculture Based Livelihood Support,Vegetable Seed Distribution - In Kind,,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
132,FSAC,Agriculture Based Livelihood Support,Vegetable Seed Distribution - In Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
133,FSAC,Agriculture Based Livelihood Support,Wheat Seed Distribution - In Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
134,FSAC,Food Assistance,Food Assistance - CBT,,"# of conflict affected IDP women, men and children of all ages who receive adequate cash assistance, in a timely manner."
135,FSAC,Food Assistance,Food Assistance - CBT,,"# of documented returnee women, men and children of all ages who receive adequate cash assistance, in a timely manner."
136,FSAC,Food Assistance,Food Assistance - CBT,,"# of natural disaster affected IDP women, men and children of all ages who receive adequate cash assistance, in a timely manner."
137,FSAC,Food Assistance,Food Assistance - CBT,,"# of natural disaster affected people (flash floods, avalanches, earthquakes, etc..), men and children of all ages who receive adequate cash assistance, in a timely manner."
138,FSAC,Food Assistance,Food Assistance - CBT,,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
139,FSAC,Food Assistance,Food Assistance - CBT,,"# of undocumented returnee women, men and children of all ages who receive adequate cash assistance, in a timely manner."
140,FSAC,Food Assistance,Food Assistance - CBT - IPC3 (50% ration),,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
141,FSAC,Food Assistance,Food Assistance - CBT - IPC4 (75% ration),,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
142,FSAC,Food Assistance,Food Assistance - in Kind,,"# of Pakistani refugees women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
143,FSAC,Food Assistance,Food Assistance - in Kind,,"# of conflict affected IDP women, men and children of all ages who receive adequate in-kind assistance, in a timely manner."
144,FSAC,Food Assistance,Food Assistance - in Kind,,"# of documented returnee women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
145,FSAC,Food Assistance,Food Assistance - in Kind,,"# of natural disaster affected IDP women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
146,FSAC,Food Assistance,Food Assistance - in Kind,,"# of natural disaster affected people (flash floods, avalanches, earthquakes, etc..), men and children of all ages who receive adequate in-kind responses, in a timely manner."
147,FSAC,Food Assistance,Food Assistance - in Kind,,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
148,FSAC,Food Assistance,Food Assistance - in Kind - IPC3 (50% ration),,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
149,FSAC,Food Assistance,Food Assistance - in Kind - IPC4 (75% ration),,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
150,FSAC,Food Assistance,in Kind Food,,
151,FSAC,Livelihood Support,Cash for Work,,
152,FSAC,Livelihood Support,Cash for Work,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
153,FSAC,Livelihood Support,Livelihood Support,,"# COVID-19 affected people who receive disinfecting, hygiene and awareness support for COVID-19 minimization"
154,FSAC,Livelihood Support,Livelihood Support,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
155,FSAC,Livelihood Support,Livelihood Support - CBT,,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
156,FSAC,Livelihood Support,Livelihood Support - CBT,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
157,FSAC,Livelihood Support,Livelihood Support - in Kind,,"# of natural disaster affected people, women, men and children of all ages who receive adequate livelihoods responses, in a timely manner."
158,FSAC,Livelihood Support,Livelihood Support - in Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
159,FSAC,Livelihood Support,Unconditional Cash Transfer,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
160,FSAC,Livestock Based Support,Animal Feed / Fodder Distribution - CBT,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
161,FSAC,Livestock Based Support,Animal Feed / Fodder Distribution - In Kind,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
162,FSAC,Livestock Based Support,Animal Vaccination / Deworming,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
163,FSAC,Livestock Based Support,Poultry,,"# of shock affected and vulnerable (natural disaster affecteds, people affected by COVID-19, and food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate livelihoods assistance in a timely manner."
164,FSAC,Non-Agriculture Based Livelihood Support,Asset Creation - CBT,,"# of women, men and children assisted through livelihoods asset creation/rehabilitation activities."
165,FSAC,Non-Agriculture Based Livelihood Support,Vocational Skills Training - CBT,,"# of women, men and children assisted through vocational skills livelihoods training activities."
166,FSAC,Non-Agriculture Based Livelihood Support,Vocational Skills Training - In Kind,,"# of women, men and children assisted through vocational skills livelihoods training activities."
167,GBV,Sensitization and community engagement,Training for community structures,,
168,Health,Births assisted by a skilled birth attendant,# of births assisted by a skilled birth attendant,,Maternal and Newborn Health
169,Health,COVID-19,Maintaining Health Care Activities - through Mobile Health Teams,,
170,Health,COVID-19,Provision of COVID-19 Services,,# of COVID-19 health facilities supported
171,Health,COVID-19,Risk Communication and Community Engagement,,
172,Health,Child Health and Nutrition,# SAM with complications cases,,Hospital Management of SAM with complications (6-59 months)
173,Health,"Clinical management of rape (CMR), PSS for survivors",# GBV survivors receiving CMR services,,Sexual Violence
174,Health,Essential Supplies,Provision of Essential Supplies,,"# of kits distributed – IEHK, TESK, RH kits, IMCI kits, etc"
175,Health,Essential Supplies,Provision of Essential Supplies,Providing UASC with interim family-based care or other suitable interim alternative care arrangements,"# of kits distributed – IEHK, TESK, RH kits, IMCI kits, etc"
176,Health,Financial Support for health care costs - Cash or Vouchers,# inidviduals receiving financial support primarily to assist with medical care costs,,Financial Support
177,Health,HCW training,# HCWs provided training,,Health Care Worker performance
178,Health,"Health Education, Training & Awareness",Health Education & Awareness,,
179,Health,"Health Education, Training & Awareness",Training Health Providers,,
180,Health,Health Promotion and Risk Communication,Health Education & Awareness,,# of people attended health education & awareness sessions
181,Health,Health Promotion and Risk Communication,Provision of COVID-19 Services,,# of persons reached with Risk Communication and Community Engagement (RCCE) messages for COVID-19
182,Health,Infectious Diseases,Diarrhea Treatment,,
183,Health,Management of mental disorders - by Health Care Provider,# Mental health consultations by a Health Care Provider,,Mental Health and PSS
184,Health,"Maternal, Newborn and Child Health (MNCH)","Provision of Maternal, Newborn and Child Health (MNCH) Services",,# of Ante-Natal Care (ANC) visits
185,Health,"Maternal, Newborn and Child Health (MNCH)","Provision of Maternal, Newborn and Child Health (MNCH) Services",,# of Post-Natal Care (PNC) visits
186,Health,"Maternal, Newborn and Child Health (MNCH)","Provision of Maternal, Newborn and Child Health (MNCH) Services",,# of deliveries attended by a skilled birth attendant
187,Health,Measles vaccination (children <15),# of children (<15y/o) vaccinated against measles,,Child Health
188,Health,Mental Health and Psychosocial Support (MHPSS),Provision of Mental Health and Psychosocial Support (MHPSS) Services,,# of mental health consultation supported
189,Health,Mobile health (e.g. IERT) services,# of outpatient consultations,,General Clinical Services
190,Health,Mother & Child Health Care (MCH),Antenatal Care,,
191,Health,Mother & Child Health Care (MCH),Antenatal and Postnatal Visit,,
192,Health,Mother & Child Health Care (MCH),Integrated Management Childhood Illness (IMCI) under 5 age,Pneumonia,
193,Health,Mother & Child Health Care (MCH),Postnatal Care,,
194,Health,Mother & Child Health Care (MCH),Skilled Birth Attendant,,
195,Health,Primary Health Care,Antenatal Care,,
196,Health,Primary Health Care,Health Education & Awareness,,
197,Health,Primary Health Care,OPD Consultation,,
198,Health,Primary Health Care,OPD Referrals,,
199,Health,Primary Health Care Services,Access to Health Care Services,,# of health facilities constructed
200,Health,Primary Health Care Services,Access to Health Care Services,,# of health facilities rehabilitated
201,Health,Primary Health Care Services,Access to Health Care Services,Drought Response,# of health facilities constructed
202,Health,Primary Health Care Services,Access to Health Care Services,Malnutrition,# of health facilities constructed
203,Health,Primary Health Care Services,Physical Rehabilitation,,# of physical rehabilitation sessions supported
204,Health,Primary Health Care Services,Provision of Primary Health Care Services,,# of outpatient consultations (other than primary health care)
205,Health,Primary Health Care Services,Provision of Primary Health Care Services,,# of outpatient consultations (primary health care)
206,Health,Primary Health Care Services,Provision of Primary Health Care Services,,# of outpatient referrals
207,Health,Primary care - outpatient services,# of outpatient consultations,,General Clinical Services
208,Health,Psychosocial Interventions (including psychological first aid) - by Health Care Provider or non-HCP,# Psychosocial (PFA) interventions by a Health Care Provider or non-HCP,,Mental Health and PSS
209,Health,Surveillance,Provision of COVID-19 Services,,# of COVID-19 cases treated
210,Health,Training,Provision of COVID-19 Services,,# of health workers trained on COVID-19 case management
211,Health,Training,Provision of COVID-19 Services,,# of health workers trained on IPC
212,Health,Training,Training of Health Care Providers,,# of community health workers trained
213,Health,Training,Training of Health Care Providers,,# of health care staff trained on Prevention of Sexual Exploitation & Abuse (PSEA)
214,Health,Training,Training of Health Care Providers,,# of health staff trained
215,Health,Training,Training of Health Care Providers,,# of health staff trained on Gender-based violence (GBV) treatment protocol
216,Health,Training,Training of Health Care Providers,,# of health staff trained on Maternal and Child Health (MCH) care
217,Health,Training,Training of Health Care Providers,,# of health staff trained on trauma care
218,Health,Training,Training of Health Care Providers,Increased community awareness of and capacity to respond to GBV,# of health staff trained
219,Health,Trauma Care,Establishment of new FATP/Trauma Center,,
220,Health,Trauma Care,FATP - Stabilization & Referrals ( Non-Conflict ),Treatment Same Province,
221,Health,Trauma Care,Health Education & Awareness,,
222,Health,Trauma Care,OPD + Consultation Surgery,,
223,Health,Trauma Care,Physical Rehabilitation,,
224,Health,Trauma Care,Provision of Trauma Care Services,,# of trauma care cases referred (conflict)
225,Health,Trauma Care,Provision of Trauma Care Services,,# of trauma care cases referred (non-conflict)
226,Health,Trauma Care,Provision of Trauma Care Services,,# of trauma care cases treated (conflict)
227,Health,Trauma Care,Provision of Trauma Care Services,,# of trauma care cases treated (non-conflict)
228,Health,Trauma Care,Provision of Trauma Care Services,,# of trauma care centers/units constructed
229,Health,Trauma Care,TCU - Minor Surgeries,,
230,Health,Trauma care,# of consultations,,Emergency and Critical Care Services
231,Health,Vaccination/Immunization,Measles Coverage,,# of children under 2 years of age received Measles vaccine
232,Health,Vaccination/Immunization,Penta3 Coverage,,# of children under 2 years of age received Penta3 vaccine
233,Health,Vaccination/Immunization,Vaccination ( Measles ),,
234,Health,Vaccination/Immunization,Vaccination ( Penta3 ),,
235,MPC,Multi-Purpose Cash,Harmonized MEB Based Transfer Value,,
236,MPC,Multi-Purpose Cash,Harmonized MEB Based Transfer Value,Individuals with specific needs or heightened vulnerability are reached with protection oriented direct or referral assistance,
237,MPC,Multi-Purpose Cash,Modified Transfer Value,,
238,MPC,Multi-Purpose Cash,Multi-Purpose Cash,,
239,Nutrition,Acute Malnutrition,Children 6-59 Months Screenings,,# of boys and girls aged 6-59 months screened for acute malnutrition
240,Nutrition,Acute Malnutrition,MAM 0-59 Months Admissions,,# of children under 5 admitted for treatment of Moderate Acute Malnutrition (MAM)
241,Nutrition,Acute Malnutrition,MAM 6-59 Months Admissions,,
242,Nutrition,Acute Malnutrition,MAM 6-59 Months Referrals,,
243,Nutrition,Acute Malnutrition,MAM 6-59 Months Screenings,,
244,Nutrition,Acute Malnutrition,ODP MAM Children Discharged Cured (A),,# of OPD MAM children discharged cured (A)
245,Nutrition,Acute Malnutrition,ODP SAM Children Discharged Cured (A),,# of OPD SAM children discharged cured (A)
246,Nutrition,Acute Malnutrition,ODP-AM PLW Admissions,,# of PLWs admitted for acute malnutrition in OPD-AM
247,Nutrition,Acute Malnutrition,PLW Admissions,,
248,Nutrition,Acute Malnutrition,PLW Referrals,,
249,Nutrition,Acute Malnutrition,PLW Screenings,,
250,Nutrition,Acute Malnutrition,SAM 0-59 Months Admissions,,# of children under 5 admitted for treatment of Severe Acute Malnutrition (SAM)
251,Nutrition,Acute Malnutrition,SAM 0-59 Months Admissions,Provision of MHPSS services to at-risk vulnerable population,# of children under 5 admitted for treatment of Severe Acute Malnutrition (SAM)
252,Nutrition,Acute Malnutrition,SAM 0-59 Months Referrals,,
253,Nutrition,Acute Malnutrition,SAM 0-59 Months Screenings,,
254,Nutrition,Nutrition Emergency,BSFP Received 6-59 Months,,
255,Nutrition,Nutrition Emergency,BSFP Received PLW,,
256,Nutrition,Nutrition Emergency,Deworming 24-59 Months,,
257,Nutrition,Nutrition Emergency,Infant Young Children Feeding (IYCF) Counselling/Coaching,,
