activity_description_id,activity_detail_id,activity_detail_name,activity_type_id,cluster_id
showers,shower_rehabilitation_mid_term,Shower Rehabilitation (Mid-Term),sanitation,wash
temporary_facilities_and_services,cash_for_water,Cash for Water,water,wash
temporary_facilities_and_services,distribution_treatment_tablets,Distribution of Treatment Tablets,water,wash
temporary_facilities_and_services,water_trucking,Water Trucking,water,wash
showers,shower_lock_installation_mid_term,Shower Lock Installation (Mid-Term),sanitation,wash
transparency,information_rights_entitlement,Information on Rights / Entitlements Communicated to Community (e.g. 15litrs/ppd; 50 people per latrines),accountability,wash
transparency,information_roles_responsibilities,Information on Roles / Responsibilities of WASH Staff on the Ground (e.g. Staff A is the WASH Technician of the Agency),accountability,wash
two_way_communication_channels,complaints_boxes,Complaints Boxes,accountability,wash
two_way_communication_channels,help_desk,Help Desk,accountability,wash
unconditional_restricted,delivery_through_agent,Delivery Through Agent,cash_transfer_programming,wash
unconditional_restricted,direct_cash_payment,Direct Cash Payment,cash_transfer_programming,wash
unconditional_restricted,mobile_phone_transfer,Mobile Phone Transfer,cash_transfer_programming,wash
unconditional_restricted,physical_voucher,Physical Voucher,cash_transfer_programming,wash
two_way_communication_channels,toll_free_line,Toll Free Line,accountability,wash
unconditional_restricted,prepaid_cards,Prepaid Cards,cash_transfer_programming,wash
unconditional_unrestricted,delivery_through_agent,Delivery Through Agent,cash_transfer_programming,wash
unconditional_unrestricted,direct_cash_payment,Direct Cash Payment,cash_transfer_programming,wash
unconditional_unrestricted,mobile_phone_transfer,Mobile Phone Transfer,cash_transfer_programming,wash
unconditional_unrestricted,physical_voucher,Physical Voucher,cash_transfer_programming,wash
unconditional_unrestricted,prepaid_cards,Prepaid Cards,cash_transfer_programming,wash
unconditional_unrestricted,smart_card_chipped,Smart Card (Chipped),cash_transfer_programming,wash
unconditional_restricted,smart_card_chipped,Smart Card (Chipped),cash_transfer_programming,wash
waste_management,cleaning_campaigns,Cleaning Campaigns,sanitation,wash
waste_management,communal_refuse_pit_excavation_for_incineration_burial,Communal Refuse Pit Excavation for Incineration / Burial,sanitation,wash
waste_management,establishment_training_rotational_waste_management_committee,Establishment and Training of Rotational Waste Management Committee,sanitation,wash
waste_management,solid_waste_management_committee_kits_distribution,Solid Waste Management Committee Kits Distribution,sanitation,wash
borehole,regular,Regular Activity,water,wash
piped_water_network,regular,Regular Activity,water,wash
rainwater_system,regular,Regular Activity,water,wash
shallow_well,regular,Regular Activity,water,wash
hand_dug_well,regular,Regular Activity,water,wash
reverse_osmosis_system,regular,Regular Activity,water,wash
solar_pumping_system,regular,Regular Activity,water,wash
piped_extension,regular,Regular Activity,water,wash
gravity_fed_water_system,regular,Regular Activity,water,wash
water_kiosk,regular,Regular Activity,water,wash
family_water_kit_distribution,regular,Regular Activity,water,wash
water_quality_testing,regular,Regular Activity,water,wash
water_supply_community,regular,Regular Activity,water,wash
water_supply_school,regular,Regular Activity,water,wash
water_tank,regular,Regular Activity,water,wash
water_tankering,regular,Regular Activity,water,wash
education_water,regular,Regular Activity,water,wash
water_supply_health_facility,regular,Regular Activity,water,wash
water_treatment,regular,Regular Activity,water,wash
water_filtration,regular,Regular Activity,water,wash
latrine_stalls_communal,regular,Regular Activity,sanitation,wash
latrine_stalls_household,regular,Regular Activity,sanitation,wash
latrine_stalls_school,regular,Regular Activity,sanitation,wash
latrine_stalls_desludged,regular,Regular Activity,sanitation,wash
latrine_stalls_decommissioned,regular,Regular Activity,sanitation,wash
latrine_cleaning_kit,regular,Regular Activity,sanitation,wash
latrine_stalls_health_facility,regular,Regular Activity,sanitation,wash
septic_tank,regular,Regular Activity,sanitation,wash
sewer_line,regular,Regular Activity,sanitation,wash
drainage_provision,regular,Regular Activity,sanitation,wash
solid_waste_management,regular,Regular Activity,sanitation,wash
education_vector_control_awareness,regular,Regular Activity,sanitation,wash
education_hygiene_promotion_household_community,regular,Regular Activity,hygiene,wash
education_hygiene_promotion_school,regular,Regular Activity,hygiene,wash
hygiene_promotion_health_facilities,regular,Regular Activity,hygiene,wash
washing_facilities,regular,Regular Activity,sanitation,wash
family_hygiene_kits_distributed,regular,Regular Activity,hygiene,wash
hand_washing_facilities,regular,Regular Activity,hygiene,wash
disinfection_common_places_chlorine,regular,Regular Activity,hygiene,wash
assessment_wash_school,regular,Regular Activity,assessment,wash
assessment_wash_community,regular,Regular Activity,assessment,wash
evaluation_baseline,regular,Regular Activity,evaluation,wash
evaluation_endline,regular,Regular Activity,evaluation,wash
evaluation_pdm,regular,Regular Activity,evaluation,wash
evaluation_crm,regular,Regular Activity,evaluation,wash
evaluation_results_monitoring,regular,Regular Activity,evaluation,wash
evaluation_fgd,regular,Regular Activity,evaluation,wash
evaluation_kap,regular,Regular Activity,evaluation,wash
evaluation_kii,regular,Regular Activity,evaluation,wash
evaluation_csi,regular,Regular Activity,evaluation,wash
assessment_wash_health_facility,regular,Regular Activity,assessment,wash
assistance_through_cash_distribution,regular,Regular Activity,cash_voucher,wash
assistance_through_voucher_distribution,regular,Regular Activity,cash_voucher,wash
using_the_wash_gbv_checklist,regular,Regular Activity,wash_gbv_mitigation,wash
gbv_risk_discussion_with_female_before_assistance,regular,Regular Activity,wash_gbv_mitigation,wash
covid-19_mitigation_measures_in_placed,regular,Regular Activity,accountability_quality_assurance,wash
equitable_access_to_wash_facilities_and_services,regular,Regular Activity,affected_population_accountability,wash
receipt_for_technical_quality_assurance_by_the_authorities,regular,Regular Activity,accountability_quality_assurance,wash
hand_dug_well,response_covid19,COVID-19 Response,water,wash
borehole,response_covid19,COVID-19 Response,water,wash
piped_water_network,response_covid19,COVID-19 Response,water,wash
rainwater_system,response_covid19,COVID-19 Response,water,wash
effective_mechanisms_for_representative_and_participatory_input,regular,Regular Activity,affected_population_accountability,wash
reverse_osmosis_system,response_covid19,COVID-19 Response,water,wash
gravity_fed_water_system,response_covid19,COVID-19 Response,water,wash
shallow_well,response_covid19,COVID-19 Response,water,wash
solar_pumping_system,response_covid19,COVID-19 Response,water,wash
water_kiosk,response_covid19,COVID-19 Response,water,wash
family_water_kit_distribution,response_covid19,COVID-19 Response,water,wash
water_quality_testing,response_covid19,COVID-19 Response,water,wash
water_supply_community,response_covid19,COVID-19 Response,water,wash
water_supply_health_facility,response_covid19,COVID-19 Response,water,wash
piped_extension,response_covid19,COVID-19 Response,water,wash
water_supply_school,response_covid19,COVID-19 Response,water,wash
water_tank,response_covid19,COVID-19 Response,water,wash
water_tankering,response_covid19,COVID-19 Response,water,wash
education_water,response_covid19,COVID-19 Response,water,wash
water_filtration,response_covid19,COVID-19 Response,water,wash
latrine_stalls_communal,response_covid19,COVID-19 Response,sanitation,wash
water_treatment,response_covid19,COVID-19 Response,water,wash
latrine_stalls_household,response_covid19,COVID-19 Response,sanitation,wash
latrine_stalls_health_facility,response_covid19,COVID-19 Response,sanitation,wash
latrine_stalls_desludged,response_covid19,COVID-19 Response,sanitation,wash
latrine_stalls_decommissioned,response_covid19,COVID-19 Response,sanitation,wash
latrine_cleaning_kit,response_covid19,COVID-19 Response,sanitation,wash
septic_tank,response_covid19,COVID-19 Response,sanitation,wash
latrine_stalls_school,response_covid19,COVID-19 Response,sanitation,wash
sewer_line,response_covid19,COVID-19 Response,sanitation,wash
solid_waste_management,response_covid19,COVID-19 Response,sanitation,wash
drainage_provision,response_covid19,COVID-19 Response,sanitation,wash
education_vector_control_awareness,response_covid19,COVID-19 Response,sanitation,wash
education_hygiene_promotion_household_community,response_covid19,COVID-19 Response,hygiene,wash
education_hygiene_promotion_school,response_covid19,COVID-19 Response,hygiene,wash
washing_facilities,response_covid19,COVID-19 Response,sanitation,wash
hand_washing_facilities,response_covid19,COVID-19 Response,hygiene,wash
family_hygiene_kits_distributed,response_covid19,COVID-19 Response,hygiene,wash
hygiene_promotion_health_facilities,response_covid19,COVID-19 Response,hygiene,wash
disinfection_common_places_chlorine,response_covid19,COVID-19 Response,hygiene,wash
assessment_wash_health_facility,response_covid19,COVID-19 Response,assessment,wash
assessment_wash_community,response_covid19,COVID-19 Response,assessment,wash
assessment_wash_school,response_covid19,COVID-19 Response,assessment,wash
evaluation_endline,response_covid19,COVID-19 Response,evaluation,wash
evaluation_pdm,response_covid19,COVID-19 Response,evaluation,wash
evaluation_crm,response_covid19,COVID-19 Response,evaluation,wash
evaluation_results_monitoring,response_covid19,COVID-19 Response,evaluation,wash
evaluation_fgd,response_covid19,COVID-19 Response,evaluation,wash
evaluation_kap,response_covid19,COVID-19 Response,evaluation,wash
evaluation_kii,response_covid19,COVID-19 Response,evaluation,wash
evaluation_csi,response_covid19,COVID-19 Response,evaluation,wash
evaluation_baseline,response_covid19,COVID-19 Response,evaluation,wash
assistance_through_cash_distribution,response_covid19,COVID-19 Response,cash_voucher,wash
assistance_through_voucher_distribution,response_covid19,COVID-19 Response,cash_voucher,wash
using_the_wash_gbv_checklist,response_covid19,COVID-19 Response,wash_gbv_mitigation,wash
gbv_risk_discussion_with_female_before_assistance,response_covid19,COVID-19 Response,wash_gbv_mitigation,wash
covid-19_mitigation_measures_in_placed,response_covid19,COVID-19 Response,accountability_quality_assurance,wash
receipt_for_technical_quality_assurance_by_the_authorities,response_covid19,COVID-19 Response,accountability_quality_assurance,wash
equitable_access_to_wash_facilities_services,response_covid19,COVID-19 Response,affected_population_accountability,wash
effective_mechanisms_for_input,response_covid19,COVID-19 Response,affected_population_accountability,wash
psychosocial_and_mental_health_support,provision_of_psychosocial_support_in_mobile_child_friendly_spaces_cfss_to_girls_boys_and_adults,"Provision of psychosocial support in mobile Child Friendly Spaces (CFSs) to girls, boys and adults",cpie,protection
psychosocial_and_mental_health_support,provision_of_peer_to_peer_support_to_girls_boys_and_adults,"Provision of peer to peer support to girls, boys and adults",cpie,protection
psychosocial_and_mental_health_support,provision_of_focused_and_or_non_specialized_mhpss_services_to_girls_boys_and_adults,"Provision of focused and/or non-specialized MHPSS services to girls, boys and adults",cpie,protection
psychosocial_and_mental_health_support,provision_of_specialized_mental_health_clinical_care_mhpss_to_girls_boys_and_adults,"Provision of specialized mental health clinical care (MHPSS) to girls, boys and adults",cpie,protection
psychosocial_and_mental_health_support,provision_of_psychosocial_support_in_child_friendly_spaces_cfss_to_girls_boys_and_adults,"Provision of psychosocial support in Child Friendly Spaces (CFSs) to girls, boys and adults",cpie,protection
awareness_raising_and_advocacy,community_based_awareness_raising_on_child_protection_issues_and_wellbeing_messaging_negative_coping_mechanism_child_labor_child_marraige_and_support_community_capacity_building_on_these_topics_parents_community_members,"Community-based awareness raising on child protection issues and wellbeing messaging, negative coping mechanism, child labor, child marraige and support community capacity building on these topics (parents/community members)",cpie,protection
awareness_raising_and_advocacy,provision_of_awareness_and_positive_parenting_sessions_to_parents_and_caregivers_to_support_their_childrens_psychosocial_wellbeing,Provision of awareness and positive parenting sessions to parents and caregivers to support their children's psychosocial wellbeing,cpie,protection
psychosocial_and_mental_health_support,provision_of_pss_for_girls_and_boys_and_their_caregivers_with_alternative_modalities_including_home_based_and_outdoor_smaller_groups_and_community_based_activities,"Provision of PSS for girls and boys  and their caregivers with alternative modalities including home based and, outdoor smaller groups and community-based activities",cpie,protection
community_based_child_protection_system,strengthen_community_based_system_structure_to_prevent_grave_child_rights_violations,Strengthen community based system/structure to prevent grave child rights violations,cpie,protection
child_protection_supplies_and_emergency_kits,provision_of_hygiene_supplies_to_vulnerable_families,Provision of hygiene supplies to vulnerable families,cpie,protection
training_capacity_building,training_and_mentoring_of_case_workers_on_integrated_case_management_services_including_caring_for_child_survivors_cs_of_sgbv,Training and mentoring of case workers on integrated case management services including Caring for Child Survivors (CS) of SGBV,cpie,protection
training_capacity_building,training_of_cp_workers_on_the_norms_and_standards_of_cp_adapt_new_tools_and_working_modalities_including_pss_pfa_and_covid_19_messages,"Training of CP workers on the norms and standards of CP, adapt new tools and working modalities, including PSS, PFA, and COVID-19 messages",cpie,protection
training_capacity_building,training_of_professionals_to_deliver_landmines_and_other_explosive_weapons_related_risk_education,Training of professionals to deliver landmines and other explosive weapons related risk education,cpie,protection
child_protection_supplies_and_emergency_kits,provision_of_winterization_clothes_kits_to_vulnerable_families,Provision of winterization clothes/ kits to vulnerable families,cpie,protection
training_capacity_building,training_of_individuals_including_service_providers_and_other_stakeholders_on_mrm_reporting_cross_verification_referral_and_advocacy,"Training of individuals (including service providers and other stakeholders) on MRM reporting, cross verification, referral and advocacy",cpie,protection
social_economic_and_education_reintegration,provision_of_social_reintegration_and_life_skills_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Provision of social reintegration and life skills assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG),cpie,protection
social_economic_and_education_reintegration,referral_for_education_reintegration_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Referral for education reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG),cpie,protection
training_capacity_building,training_certification_of_justice_professionals_in_dealing_with_child_offenders_and_child_victims_in_jrc,Training/ certification of justice professionals in dealing with child offenders and child victims in JRC,cpie,protection
social_economic_and_education_reintegration,provision_of_economic_reintegration_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Provision of economic reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG),cpie,protection
adolescents_programming,establish_adolescents_clubs_boys_girls_clubs_girls_boys_separate_club_in_community_for_peer_to_peer_support,Establish Adolescents Clubs (boys & girls clubs/Girls & boys separate club) in community for peer to peer support,cpie,protection
adolescents_programming,establish_adolescent_friendly_centers_adolescent_social_hubs_girls_friendly_facilities_to_provide_life_skills_new_generations_skills_computer_skills_internet_use_of_social_media_etc.,"Establish adolescent friendly centers (Adolescent Social Hubs & Girls Friendly facilities) to provide Life Skills & new generations skills (Computer skills, Internet, use of Social media etc.)",cpie,protection
integrated_case_management_services,provision_of_cash_as_a_component_of_the_case_management_services_to_children_and_adolescents_at_risk,Provision of cash as a component of the Case Management services to children and adolescents at risk,cpie,protection
integrated_case_management_services,providing_uasc_with_interim_family_based_care_or_other_suitable_interim_alternative_care_arrangements,Providing UASC with interim family-based care or other suitable interim alternative care arrangements,cpie,protection
integrated_case_management_services,provision_of_case_management_and_referrals_to_child_survivors_and_children_in_risk_of_sgbv_including_child_marriage,"Provision of case management and referrals to child survivors and children in risk of SGBV, including child marriage",cpie,protection
integrated_case_management_services,registration_referrals_facilitation_of_access_to_services_and_follow_up_of_case_management_services_in_line_with_the_afghanistan_sop_for_case_management_for_children_at_risk,"Registration, referrals, facilitation of access to services, and  follow up of case management services in line with the Afghanistan SOP for Case Management for children at risk",cpie,protection
case_management,"capacity_building_of_cp_social_workers,_case_workers_and_volunteers_on_case_management,_safe_provision_of_alternative_care,_gbv_risk_mitigation,_psea,_code_of_conduct_and_child_safeguarding","Capacity building of CP social workers, case workers and volunteers on case management, safe provision of alternative care, GBV risk mitigation, PSEA, code of conduct and child safeguarding",cpie,protection
case_management,children_with_protection_needs_referred_to_access_multi_sector_services_and/or_specialized_services,Children with protection needs referred to access multi-sector services and/or specialized services,cpie,protection
case_management,conduct_family_tracing_and_reunification_of_unaccompanied_and_separated_children,Conduct family tracing and reunification of unaccompanied and separated children,cpie,protection
case_management,identify_and_document_children_who_are_at_risk_and_need_case_management_services,Identify and document children who are at risk and need case management services,cpie,protection
integrated_case_management_services,provision_of_family_tracing_and_reunification_frt_services_to_unaccompanied_and_separated_children_uasc,Provision of Family Tracing and Reunification (FRT) services to Unaccompanied and Separated Children (UASC),cpie,protection
case_management,"support_children_at_risk_and_survivors,_through_an_individual_case_management_process_which_includes_comprehensive_assessment,_a_case_plan_and_regular_following_up","Support children at risk and survivors, through an individual case management process which includes comprehensive assessment, a case plan and regular following up",cpie,protection
children_in_conflict,"advocate_and_respond_to_grave_child_rights_violations,_including_recruitment_and_children_in_conflict_with_the_law_and_children_in_detention,_jrcs_and/_or_prison","Advocate and respond to grave child rights violations, including recruitment and children in conflict with the law and children in detention, JRCs and/ or prison",cpie,protection
case_management,"provision_of_interim,_family/community_based_alternative_care_to_uasc_and_other_vulnerable_children_in_need_of_safe_care_alternatives","Provision of interim, family/community based alternative care to UASC and other vulnerable children in need of safe care alternatives",cpie,protection
"community_work,_advocacy_and_awareness",children_and_adults_having_access_to_safe_and_secure_channels_to_report_sgbv_and_sexual_exploitation_and_abuse,Children and adults having access to safe and secure channels to report SGBV and sexual exploitation and abuse,cpie,protection
"community_work,_advocacy_and_awareness",community_groups/_structures_are_established_and_their_members_were_trained_to_prevent_and_respond_to_cp_concerns_in_their_own_community,Community groups/ structures are established and their members were trained to prevent and respond to CP concerns in their own community,cpie,protection
children_in_conflict,provide_socio_economic_assistance_to_children_and_adolescents_identified_within_communities_who_have_suffered_from_grave_child_rights_violations_including_those_former_caafag_to_successfully_reintegrate_into_their_communities,Provide socio-economic assistance to children and adolescents identified within communities who have suffered from grave child rights violations (including those former CAAFAG) to successfully reintegrate into their communities,cpie,protection
"community_work,_advocacy_and_awareness","provide_technical_onsite_or_remote_direct_supervision_and_mentoring_to_national_cp_actors_on_cpie,_mhpss_and_covid_19_prevention_and_response","Provide technical onsite or remote direct supervision and mentoring to national CP actors on CPiE, MHPSS and COVID-19 prevention and response",cpie,protection
"community_work,_advocacy_and_awareness",provide_community_based_awareness_raising_on_the_protection_of_children_and_positive_coping_mechanisms,Provide community-based awareness raising on the protection of children and positive coping mechanisms,cpie,protection
"community_work,_advocacy_and_awareness","train_child_protection_actors_including_frontline_workers_and_volunteers/_community_networks_on_code_of_conduct,_psea,_gbv_risk_mitigation_and_child_safeguarding","Train child protection actors including frontline workers and volunteers/ community networks on Code of Conduct, PSEA, GBV risk mitigation and child safeguarding",cpie,protection
"community_work,_advocacy_and_awareness",provision_of_hygiene_supplies_to_children_and_care_givers,Provision of hygiene supplies to children and care givers,cpie,protection
psychosocial_support_for_children,"awareness_to_parents,_caretakers_and_children_on_the_prevention_of_covid_19,_stress_management,_positive_parenting_and_positive_coping_mechanisms","Awareness to parents, caretakers and children on the prevention of COVID-19, stress management, positive parenting and positive coping mechanisms",cpie,protection
psychosocial_support_for_children,"provide_pss_activities_in_homes,_and_through_alternative_modalities_to_strengthen_coping_and_resilience_of_children_in_the_situation_of_covid_19","Provide PSS activities in homes, and through alternative modalities to strengthen coping and resilience of children in the situation of COVID-19",cpie,protection
psychosocial_support_for_children,"provide_psycho­social_support_to_children_through_culturally,_gender__and_age_appropriate_activities","Provide psycho­social support to children through culturally, gender- and age appropriate activities",cpie,protection
psychosocial_support_for_children,"provide_specialized_mhpss_services_to_children,_adolescents_and_caregivers","Provide specialized MHPSS services to children, adolescents and caregivers",cpie,protection
psychosocial_support_for_children,"awareness_raising_to_caregivers_and_community_members_to_promote_children’s_wellbeing,_and_prevent_abuse,_neglect,_exploitation_and_violence_against_children","Awareness raising to caregivers and community members to promote children’s wellbeing, and prevent abuse, neglect, exploitation and violence against children",cpie,protection
psychosocial_support_for_children,"training_of_child_protection_workers_on_protection_principles, adopt_new_tools_cp,_working_modalities,_gbv,_positive_parenting,_pfa,_and_covid_19_messages_ ","Training of child protection workers on protection principles, adopt new tools CP, working modalities, GBV, Positive parenting, PFA, and COVID-19 messages  ",cpie,protection
health_assistance,provision_of_integrated_gbv_health_services_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of integrated GBV Health services to at-risk IDP, returnee and non-displaced shock-affected GBV survivors",gbv,protection
legal_support,provision_of_legal_support_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of  legal support to at-risk IDP, returnee and non-displaced shock-affected GBV survivors",gbv,protection
awareness_raising_and_advocacy,community_outreach_and_dialogues_to_enhance_prevention_and_referrals_to_gbv_services,Community outreach and dialogues to enhance prevention and referrals to GBV services,gbv,protection
psychosocial_and_mental_health_assistance,provision_of_community_based_mhpss_services_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of community based  MHPSS services to at-risk IDP, returnee and non-displaced shock-affected GBV survivors",gbv,protection
distribution_of_dignity_kits_to_women_and_girls,distribution_of_dignity_kits_to_at_risk_idp_returnee_and_non_displaced_popuulations,"Distribution of dignity kits to at-risk IDP, returnee and non-displaced popuulations",gbv,protection
training_capacity_building,training_and_mentoring_of_case_workers_on_how_to_prevent_and_respond_to_gbv,Training and mentoring of case workers on how to prevent and respond to GBV,gbv,protection
training_capacity_building,training_of_gbv_responders_on_gbv_minimum_standards__including_on_pss,"Training of GBV responders on GBV minimum standards , including on PSS",gbv,protection
livelihoods_and_recovery,lifeskills_and_socioeconomic_recovery_programming_for_gbv_prevention_and_response,Lifeskills and socioeconomic recovery programming for GBV prevention and response,gbv,protection
awareness_raising_and_advocacy,provision_of_iec_materials_to_women_men_girls_and_boy_on_gbv_prevention_and_response.,"Provision of IEC materials to women, men, girls and boy on GBV prevention and response.",gbv,protection
integrated_case_management_services,provision_of_gbv_case_management_services_to_persons_at_risk_or_affected_by_gbv,Provision of GBV case management services to persons at risk or affected by GBV,gbv,protection
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,non_cash,Non Cash,gbv,protection
referrals_for_gbv_case_management,non_cash,Non Cash,gbv,protection
referrals_for_other_gbv_services,non_cash,Non Cash,gbv,protection
case_management_by_case_management_committees,non_cash,Non Cash,gbv,protection
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,non_cash,Non Cash,gbv,protection
pss_services_by_counselors_in_health_facilities,non_cash,Non Cash,gbv,protection
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,cash_vouchers,Cash / Vouchers,gbv,protection
referrals_for_gbv_case_management,cash_vouchers,Cash / Vouchers,gbv,protection
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,cash_vouchers,Cash / Vouchers,gbv,protection
