activity_type_id,activity_type_name,cluster_id
rental_support_3_month,Rental Support for 3 Month,esnfi
existing_shelter_upgrade,Upgrade of Existing Shelter,esnfi
damaged_destroyed_shelter_assessment,Assessment of Damaged/Destroyed  Shelter,esnfi
school_establishment,Formal & Non-Formal School Establishment,eiewg
teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg
capacity_building,Capacity Building,eiewg
wash_in_school,WASH in School,eiewg
quick_fix_repair_of_schools,Quick Fixing/Repairing of Schools,eiewg
protection_activities,Protection Activities,eiewg
education_awareness,Education Awareness,eiewg
secondary_surgical_care,Secondary Surgical Care,health
referrals,Referrals,health
eyecare,Eyecare,health
rehabilitative_and_palliative_care,Rehabilitative and Palliative Care,health
mental_health_and_psychosocial_support,Mental Health and Psychosocial Support,health
dental_care,Dental Care,health
maternity,Maternity,health
community_health_outreach,Community Health Outreach,health
human_resources_for_health,Human Resources for Health,health
trainings_for_health_care_workers,Trainings for Health Care Workers,health
solid_waste,Solid Waste,wash
child_protection,Child Protection,protection
general_protection,Protection,protection
agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac
non_agriculture_livelihood_support,Non-Agriculture Based Livelihood Support,fsac
livestock_support,Livestock Based Support,fsac
mhpss,MHPSS,health
epi,EPI,health
srh,SRH,health
hiv_tb,HIV/TB,health
supplies,Supplies,health
mou,MoU,health
cb_drr,CB DRR,health
treatment,Treatment,nutrition
supplementary_feeding,Supplementary Feeding,nutrition
referals,Referals,nutrition
training,Training,nutrition
screening,Screening,nutrition
cash_distribution,Cash Distribution,wash
standard_winterization_packages_blankets_clothing_heating,Standard Winterization Packages (blankets/clothing/heating),esnfi
child_health_nutrition,Child Health and Nutrition,health
wash_supplies,WASH Supplies,wash
wash_psea,WASH PSEA,wash
standard_emergency_shelter_assistance,Standard Emergency Shelter Assistance,esnfi
standard_winterization_assistance,Standard Winterization Assistance,esnfi
primary_health_care_services,Primary Health Care Services,health
health_training,Training,health
mental_health_psychosocial_support,Mental Health and Psychosocial Support (MHPSS),health
maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health
health_promotion_risk_communication,Health Promotion and Risk Communication,health
essential_supplies,Essential Supplies,health
cccm_mechanisms,CCCM Mechanisms,cccm
cccm_service_coordination,CCCM Service Coordination,cccm
cccm_referral_mechanism,CCCM Referral Mechanism,cccm
feedback_mechanisms,Feedback Mechanisms,cccm
mobile_site_management,Mobile Site Management,cccm
cccm_training_capacity_building_activites,CCCM Training/Capacity Building Activites,cccm
population_information_management,Population Information Management,cccm
return_relocation_integration,Return/ Relocation/ Integration,cccm
service_monitoring,Service Monitoring,cccm
service_provision,Service Provision,cccm
participation,Participation,cccm
sharing_information,Sharing Information,cccm
site_care_and_maintenance,Site Care and Maintenance,cccm
cholera_vaccination,Cholera Vaccination,health
cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg
