activity_description_id,indicator_id,indicator_name
training_capacity_building,no_on_individuals_including_service_providers_and_other_stakeholders_trained_on_mrm_reporting_cross_verification_referral_and_advocacy,"# on individuals (including service providers and other stakeholders) trained on MRM reporting, cross verification, referral and advocacy"
social_economic_and_education_reintegration,no_of_girls_and_boys_who_have_suffered_from_grave_child_rights_violations_including_former_caac_children_in_detention_reffered_for_education_reintegration_services,# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) reffered for education reintegration services
social_economic_and_education_reintegration,no_of_girls_and_boys_who_have_suffered_from_grave_child_rights_violations_including_former_caac_children_in_detention_benefitteed_from_social_and_economic_reintegration_and_life_skill_assistance,# of girls and boys who have suffered from grave child rights violations (including former CAAC & children in detention) benefitteed from social and economic reintegration and life skill assistance
child_protection_supplies_and_emergency_kits,no_of_children_and_their_caregivers_received_winterization_clothers_kits,# of children and their caregivers received winterization clothers/ kits
training_capacity_building,no_of_justice_professionals_trained_certified_in_dealing_with_child_offenders_and_child_victims_in_jrc,# of justice professionals trained / certified in dealing with child offenders and child victims in JRC
adolescents_programming,no_of_adolescent_boys_and_girls_benefitted_from_peer_to_peer_support_from_in_adolescent_clubs,# of adolescent boys and girls benefitted from peer to peer support from in adolescent clubs
integrated_case_management_services,no_of_children_and_adolescents_received_conditional_cash_transfers_bursaries_stipends_and_scholarships,"# of children and adolescents received conditional cash transfers, bursaries, stipends, and scholarships"
integrated_case_management_services,no_of_uasc_children_provided_alternative_or_interim_care_support,# of UASC children provided alternative or interim care support
integrated_case_management_services,no_of_women_and_children_received_gender_based_violence_gbv_response_services,# of women and children received Gender-Based Violence (GBV) response services
adolescents_programming,no_of_adolescent_boys_and_girls_provided_life_skills_new_generations_skills_in_adolescent_friendly_centers_adolescent_social_hubs_girls_friendly_facilities,# of adolescent boys and girls provided life skills & new generations skills in adolescent friendly centers (Adolescent Social Hubs & Girls Friendly facilities)
integrated_case_management_services,no_of_girls_and_boys_at_risk_including_unaccompanied_and_separated_children_and_child_survivors_of_sgbv_identified_documented_and_received_case_management_services,"# of girls and boys at risk, including unaccompanied and separated children, and child survivors of SGBV identified, documented, and received case management services"
integrated_case_management_services,no_of_uasc_children_provided_with_family_tracing_and_reunification_ftr_services,# of UASC children provided with Family Tracing and Reunification (FTR) services
case_management,no_of_girls_and_boys_at_risk_including_unaccompanied_and_separated_children_and_child_survivors_of_sgbv_identified_documented_and_received_case_management_services,"# of girls and boys at risk, including unaccompanied and separated children, and child survivors of SGBV identified, documented, and received case management services"
"community_work,_advocacy_and_awareness",no_of_people_who_have_been_reached_by_information_on_covid_19_and_the_danger_and_consequences_of_hazardous_child_labor_child_marriage_trafficking_and_other_negative_coping_mechanisms,"# of people who have been reached by information on COVID-19 and the danger and consequences of hazardous child labor, child marriage, trafficking and other negative coping mechanisms"
psychosocial_support_for_children,no_of_people_who_have_been_reached_by_information_on_covid_19_and_the_danger_and_consequences_of_hazardous_child_labor_child_marriage_trafficking_and_other_negative_coping_mechanisms,"# of people who have been reached by information on COVID-19 and the danger and consequences of hazardous child labor, child marriage, trafficking and other negative coping mechanisms"
psychosocial_support_for_children,no_of_children_and_their_caregivers_reached_with_center_mobile_and_home_based_activities_to_improve_their_mental_health_and_psychosocial_well_being_following_program_completion,"# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
case_management_and_referrals_for_at-risk_children,no_of_targeted_girls_and_boys_benefiting_from_age__and_gender_sensitive_case_management_services,# of targeted girls and boys benefiting from age- and gender-sensitive case management services
psychosocial_support_for_children,no_of_targeted_girls_and_boys_benefiting_from_age__and_gender_sensitive_psychosocial_support_activities,# of targeted girls and boys benefiting from age- and gender-sensitive psychosocial support activities
health_assistance,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_naturaldisaster_affected_receiving_integrated_gbv_related_health_assistance,"# of at-risk IDP, returnee and non-displaced conflict or naturaldisaster-affected  receiving integrated  GBV related health assistance"
legal_support,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_naturaldisaster_affected_receiving_gbv_related_legal_support,"# of at-risk IDP, returnee and non-displaced conflict or naturaldisaster-affected  receiving GBV related  legal support"
awareness_raising_and_advocacy,no_of_community_members_reached_with_community_dialogues_outreach_sessions,# of community members reached with community  dialogues/outreach sessions
distribution_of_dignity_kits_to_women_and_girls,no_of_women_and_girls_in_need_are_reached_with_dignity_kits,# of women and girls in need are reached with dignity kits
psychosocial_and_mental_health_assistance,no_of_at_risk_persons_reached_with_mental_health_and_psychosocial_well_being_services_to_prevent_or_respond_to_gbv,# of  at-risk persons reached with mental health and psychosocial well-being services to prevent or respond to GBV
training_capacity_building,no_of_gbv_responders_trained,# of GBV responders trained
training_capacity_building,no_of_staff_and_case_workers_trained_and_mentored_on_on_how_to_prevent_and_respond_to_gbv,# of staff and case workers trained and mentored on on how to prevent and respond to GBV
integrated_case_management_services,perc_of_gbv_cases_disclosed_that_receive_case_management_services,% of GBV cases disclosed that receive case management services
livelihoods_and_recovery,no_of_girls_and_women_benefitteed_from_social_and_economic_and_life_skill_assistance,# of girls and women benefitteed from social and economic and life skill assistance
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
gbv_assessment,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
awareness_raising_and_advocacy,no_of_women_men_girls_and_boys_who_reached_with_messaging_on_gbv_prevention_and_response.,"# of women, men, girls and boys who reached with messaging on GBV prevention and response."
case_management_by_case_management_committees,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
referrals_for_other_gbv_services,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
referrals_for_gbv_case_management,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
placement_of_pss_counselors_in_health_facilities,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
pss_services_by_counselors_in_health_facilities,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
provision_of_pep_kits_to_health_facilities,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
capacity_building_of_caregivers_on_gbv_services_including_pss,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
formation_of_pss_outreach_teams,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
gbv_awareness_raising_through_community_dialogues,no_of_community_members_mobilised_through_community_dialogues_to_prevent_and_respond_to_gbv,# of community members mobilised through community dialogues to prevent and respond to GBV
advocacy_on_gbv_upward_and_downstream,no_of_community_members_mobilised_through_community_dialogues_to_prevent_and_respond_to_gbv,# of community members mobilised through community dialogues to prevent and respond to GBV
leadership_training_for_women_and_girls,no_of_women_and_girls_reached_with_livelihood_and_leadership_interventions,# of women and girls reached with livelihood and leadership interventions
provision_of_dignity_kits,no_of_women_and_girls_in_need_reached_with_dignity_kits,# of women and girls in need reached with dignity kits
pss_services_by_pss_outreach_teams,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)"
gbv_services_to_gbv_survivors,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_gbv_survivors_receiving_multi_sectoral_assistance_psychosocial_legal_safety_health_and_dignity_kits,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected GBV survivors receiving multi-sectoral assistance (psychosocial, legal, safety, health and dignity kits)"
vocational_training_for_women_and_girls,no_of_women_and_girls_reached_with_livelihood_and_leadership_interventions,# of women and girls reached with livelihood and leadership interventions
establishment_of_women-friendly_health_spaces,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_gbv_survivors_receiving_multi_sectoral_assistance_psychosocial_legal_safety_health_and_dignity_kits,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected GBV survivors receiving multi-sectoral assistance (psychosocial, legal, safety, health and dignity kits)"
gbv_and_pss_services_through_women-friendly_health_spaces,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_gbv_survivors_receiving_multi_sectoral_assistance_psychosocial_legal_safety_health_and_dignity_kits,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected GBV survivors receiving multi-sectoral assistance (psychosocial, legal, safety, health and dignity kits)"
protection_monitoring,no_of_people_reached_through_protection_monitoring,# of people reached through protection monitoring
provision_of_dignity_kits_to_gbv_survivors,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_gbv_survivors_receiving_multi_sectoral_assistance_psychosocial_legal_safety_health_and_dignity_kits,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected GBV survivors receiving multi-sectoral assistance (psychosocial, legal, safety, health and dignity kits)"
psn_identification_assistance_and_referrals,no_of_people_with_specific_needs_referred_to_specialized_services_and_assistance,# of people with specific needs referred to specialized services and assistance
psn_identification_assistance_and_referrals,no_of_people_with_specific_needs_who_received_ipa_assistance_to_prevent_mitigate_or_respond_to_protection_needs,"# of people with specific needs who received IPA assistance to prevent, mitigate or respond to protection needs"
protection_monitoring,no_of_communities_reached_through_protection_monitoring,# of communities reached through protection monitoring
referrals_for_gbv_case_management,no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_gbv_survivors_receiving_multi_sectoral_assistance_psychosocial_legal_safety_health_and_dignity_kits,"# of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected GBV survivors receiving multi-sectoral assistance (psychosocial, legal, safety, health and dignity kits)"
psn_identification_assistance_and_referrals,no_of_people_who_received_legal_counselling_and_assistance,# of people who received legal counselling and assistance
psn_identification_assistance_and_referrals,no_of_community_centers_established_or_maintained,# of community centers established or maintained
psn_identification_assistance_and_referrals,no_of_people_who_received_individual_or_group_based_psychosocial_support,# of people  who received individual or group-based psychosocial support
community_based_protection,no_of_people_who_received_awareness_raising_on_covid_19,# of people who received awareness raising on COVID -19
community_based_protection,no_of_people_who_received_awareness_raising_on_access_to_legal_identity_and_civil_documentation,# of people who received awareness raising on access to legal identity and civil documentation
community_based_protection,no_of_people_who_participated_in_community_based_activities,# of people  who participated in community-based activities
community_based_protection,no_of_people_who_received_awareness_raising_on_traffking_in_person,# of people who received awareness raising on traffking in person
psn_identification_assistance_and_referrals,no_of_hh_with_protection_concerns_receiving_cash_for_protection_one_line_of_assistance,# of HH with  protection concerns receiving cash for protection (ONE line of assistance)
community_based_protection,no_people_who_participated_and_benefited_from_the_community_project,# people who participated and benefited from the community project
protection_monitoring_household_survey_or_community_level,no_of_people_reached_through_protection_monitoring,# of people reached through protection monitoring
community_based_protection,no_of_community_project_established,# of community project established
psychosocial_support_pss,no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
community_based_protection,no_of_people_community_members_trained_on_protection_approaches_or_issues_not_including_gbv_or_child_protection,# of  people community members trained on protection approaches or issues (not including GBV or Child Protection)
protection_monitoring_reports,no_of_protection_monitoring_reports_circulated_for_protection_advocacy_and_programme_response,# of protection monitoring reports circulated for protection advocacy and programme response
legal_counselling_or_legal_assistance_civil_and_identity_documentation,no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
cash_for_protection_outcomes_unrestricted,no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
persons_with_specific_needs_psn_case_identification_and_referrals_to_specialized_services,no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
community-based_protection_projects,no_of_people_benefiting_from_community_based_protection_initiatives,# of people benefiting from Community-Based Protection initiatives
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted",no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
"capacity_building_training_on_protection_mainstreaming,_cbpm,_ihl,_drr,_advocacy_etc..",no_of_people_benefiting_from_community_based_protection_initiatives,# of people benefiting from Community-Based Protection initiatives
protection_sensitisation_and_advocacy,no_of_protection_monitoring_reports_circulated_for_protection_advocacy_and_programme_response,# of protection monitoring reports circulated for protection advocacy and programme response
awareness_raising_and_dissemination_of_information,no_of_people_benefiting_from_community_based_protection_initiatives,# of people benefiting from Community-Based Protection initiatives
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,no_of_people_who_were_provided_with_direct_and_referral_assistance,# of people who were provided with direct and referral assistance
community-based_protection-related_activities,no_of_people_benefiting_from_community_based_protection_initiatives,# of people benefiting from community-based protection initiatives
protection_negotiation_and_advocacy_for_re-opening_of_conflict-affected_schools,no_of_conflict_affected_schools_that_have_been_re_opened_following_a_military_presence_as_a_result_of_protection_negotiation_and_advocacy,"# of conflict-affected schools that have been re-opened following a military presence, as a result of protection negotiation and advocacy"
information_counselling_and_legal_assistance,no_of_individuals_receiving_counselling_and_or_legal_assistance_on_hlp_rights,# of individuals receiving counselling and/or legal assistance on HLP rights
information_counselling_and_legal_assistance,perc_of_people_who_report_possessing_a_security_of_tenure_document_for_their_house_land_property_as_a_result_of_legal_assistance,% of people who report possessing a security of tenure document for their house/land/property [as a result of legal assistance]
information_sharing_on_hlp_durable_solutions,no_of_individuals_receiving_information_on_hlp_rights,# of individuals receiving information on HLP rights
training_capacity_building,no_of_government_humanitarian_and_other_partners_receiving_training_and_or_technical_support_on_hlp,"# of government, humanitarian and other partners receiving training and/or technical support on HLP"
information_counselling_and_legal_assistance,no_of_individuals_receiving_information_on_hlp_rights,# of individuals receiving information on HLP rights
information_sharing_on_hlp_durable_solutions_legal_identity,no_of_individuals_receiving_information_on_hlp_rights,# of individuals receiving information on HLP rights
information_counselling_and_legal_assistance,perc_of_people_who_received_hlp_support_awareness_raising_advocacy_and_legal_counselling_who_then_went_on_to_access_land_security_of_tenure_adequate_housing_or_hlp_documentation_in_line_with_their_legal_rights,"% of people who received HLP support (awareness raising, advocacy and legal counselling) who then went on to access land, security of tenure, adequate housing or HLP documentation, in line with their legal rights"
counselling_and_or_legal_assistance_on_hlp_legal_identity,no_of_individuals_receiving_counselling_and_or_legal_assistance_on_hlp_rights,# of individuals receiving counselling and/or legal assistance on HLP rights
counselling_and_or_legal_assistance_on_hlp,no_of_individuals_receiving_counselling_and_or_legal_assistance_on_hlp_rights,# of individuals receiving counselling and/or legal assistance on HLP rights
capacity_building_of_duty-bearers_on_hlp,no_of_government_humanitarian_and_other_partners_receiving_training_and_or_technical_support_on_hlp,"# of government, humanitarian and other partners receiving training and/or technical support on HLP"
capacity_building_of_duty-bearers_on_hlp_legal_identity,no_of_government_humanitarian_and_other_partners_receiving_training_and_or_technical_support_on_hlp,"# of government, humanitarian and other partners receiving training and/or technical support on HLP"
provision_of_land_clearance,no_of_people_living_within_one_kilometre_of_a_known_explosive_hazard_benefitting_from_the_removal_of_those_explosive_hazards.,# of people living within one kilometre of a known explosive hazard benefitting from the removal of those explosive hazards.
provision_of_explosive_ordnance_disposal_eod,no_of_conflict_affected_people_benefitting_from_eod_and_survey_activities,# of conflict-affected people benefitting from EOD and survey activities
provision_of_explosive_ordnance_risk_education_eore,no_of_vulnerable_people_receiving_eore,# of vulnerable people receiving EORE
explosive_hazard_clearance_people_benefitting,no_of_people_living_within_one_kilometre_of_a_known_explosive_hazard_benefitting_from_the_removal_of_those_explosive_hazards,# of people living within one kilometre of a known explosive hazard benefitting from the removal of those explosive hazards
explosive_hazard_clearance_square_metres_cleared,square_metres_of_area_cleared_from_known_explosive_hazards,Square metres of area cleared from known explosive hazards
explosive_ordnance_disposal_eod_survey,no_of_conflict_affected_people_benefitting_from_explosive_ordnance_disposal_and_survey_activities,# of conflict-affected people benefitting from Explosive Ordnance Disposal and survey activities
explosive_ordnance_risk_education_eore,no_of_vulnerable_people_receiving_eore,# of vulnerable people receiving EORE
children_6_59_screening,no_of_boys_and_girls_aged_6_59_months_screened_for_acute_malnutrition,# of boys and girls aged 6-59 months screened for acute malnutrition
mam_0_59_admissions,no_of_children_under_5_admitted_for_treatment_of_moderate_acute_malnutrition_mam,# of children under 5 admitted for treatment of Moderate Acute Malnutrition (MAM)
odp_mam_children_discharged_cured_a,no_of_opd_mam_children_discharged_cured_a,# of OPD MAM children discharged cured (A)
sam_0_59_admissions,no_of_children_under_5_admitted_for_treatment_of_severe_acute_malnutrition_sam,# of children under 5 admitted for treatment of Severe Acute Malnutrition (SAM)
odp_sam_children_discharged_cured_a,no_of_opd_sam_children_discharged_cured_a,# of OPD SAM children discharged cured (A)
odp_am_plw_admissions,no_of_plws_admitted_for_acute_malnutrition_in_opd_am,# of PLWs admitted for acute malnutrition in OPD-AM
nutrition_health_education_session,no_of_participants_receiving_nutrition_and_health_education_session_,# of participants receiving nutrition and health education session
local_materials_tarps_tools_package,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
tent_distribution_2_tarps_package,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
infrastructure_extension_settlement_space_covid_facilities,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
rental_support_6_month_package,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
rental_support_3_month_package,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
existing_shelter_upgrade_repair_package,no_of_people_whose_shelter_was_upgraded_allowing_for_safer_and_more_dignified_living_conditions,"# of people whose shelter was upgraded, allowing for safer and more dignified living conditions"
standard_nfi_kit_distribution,no_of_people_receiving_basic_household_items_nfi_to_meet_their_immediate_needs,# of people receiving basic household items / NFI to meet their immediate needs
emergency_shelter_self_construction_repair_toolkit_distribution,no_of_people_receiving_emergency_shelter_assistance_including_through_cash_for_rent_support,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
transitional_shelter_construction_2_room,no_of_people_receiving_support_to_construct_transitional_shelters,# of people receiving support to construct transitional shelters
permanent_shelter_construction_1_room,no_of_people_receiving_support_to_construct_transitional_shelters,# of people receiving support to construct transitional shelters
shelter_extension_kits_overcrowding_reduction,no_of_people_receiving_support_to_construct_transitional_shelters,# of people receiving support to construct transitional shelters
transitional_shelter_construction_1_room,no_of_people_receiving_support_to_construct_transitional_shelters,# of people receiving support to construct transitional shelters
permanent_shelter_construction_2_room,no_of_people_receiving_support_to_construct_transitional_shelters,# of people receiving support to construct transitional shelters
winterization_package_heating_fuel,no_of_people_receiving_the_winterisation_standard_package_for_insulation,# of people receiving the winterisation standard package for insulation
school_aged_children_winter_clothing_kits,no_of_people_receiving_the_winterisation_standard_package_for_insulation,# of people receiving the winterisation standard package for insulation
heating_supplies_school_support,no_of_people_receiving_the_winterisation_standard_package_for_insulation,# of people receiving the winterisation standard package for insulation
food_assistance_cbt,no_of_conflict_affected_idp_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of conflict affected IDP women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance_cbt,no_of_shock_affected_and_vulnerable_idps_returnees_refugees_natural_disaster_affecteds_people_affected_by_covid_19_and_seasonaly_food_insecure_ipc_phase_3_and_4_people_women_men_and_children_of_all_ages_who_receive_adequate_food_cash_responses_in_a_timely_manner.,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
food_assistance_in_kind,no_of_conflict_affected_idp_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_assistance_in_a_timely_manner.,"# of conflict affected IDP women, men and children of all ages who receive adequate in-kind assistance, in a timely manner."
food_assistance_in_kind,no_of_natural_disaster_affected_idp_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of natural disaster affected IDP women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance_cbt,no_of_natural_disaster_affected_people_flash_floods_avalanches_earthquakes_etc.._men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of natural disaster affected people (flash floods, avalanches, earthquakes, etc..), men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance_in_kind,no_of_shock_affected_and_vulnerable_idps_returnees_refugees_natural_disaster_affecteds_people_affected_by_covid_19_and_seasonaly_food_insecure_ipc_phase_3_and_4_people_women_men_and_children_of_all_ages_who_receive_adequate_food_cash_responses_in_a_timely_manner.,"# of shock affected and vulnerable (IDPs, returnees, refugees, natural disaster affecteds, people affected by COVID-19, and seasonaly food insecure IPC phase 3 and 4 people) women, men and children of all ages who receive adequate food/cash responses in a timely manner."
food_assistance_cbt,no_of_natural_disaster_affected_idp_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of natural disaster affected IDP women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance_cbt,no_of_pakistani_refugees_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of Pakistani refugees women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance_in_kind,no_of_natural_disaster_affected_people_flash_floods_avalanches_earthquakes_etc.._men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of natural disaster affected people (flash floods, avalanches, earthquakes, etc..), men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance_in_kind,no_of_pakistani_refugees_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of Pakistani refugees women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance_cbt,no_of_undocumented_returnee_women_men_and_children_of_all_ages_who_receive_adequate_cash_assistance_in_a_timely_manner.,"# of undocumented returnee women, men and children of all ages who receive adequate cash assistance, in a timely manner."
food_assistance_in_kind,no_of_undocumented_returnee_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of undocumented returnee women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance_in_kind,no_of_documented_returnee_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of documented returnee women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
food_assistance,no_of_returnee_and_refugee_women_men_and_children_of_all_ages_who_receive_adequate_in_kind_responses_in_a_timely_manner.,"# of returnee and refugee women, men and children of all ages who receive adequate in-kind responses, in a timely manner."
