activity_description_id,activity_detail_id,activity_detail_name
awareness_raising_and_advocacy,community_based_awareness_raising_on_child_protection_issues_and_wellbeing_messaging_negative_coping_mechanism_child_labor_child_marraige_and_support_community_capacity_building_on_these_topics_parents_community_members,"Community-based awareness raising on child protection issues and wellbeing messaging, negative coping mechanism, child labor, child marraige and support community capacity building on these topics (parents/community members)"
training_capacity_building,training_and_mentoring_of_case_workers_on_integrated_case_management_services_including_caring_for_child_survivors_cs_of_sgbv,Training and mentoring of case workers on integrated case management services including Caring for Child Survivors (CS) of SGBV
child_protection_supplies_and_emergency_kits,provision_of_hygiene_supplies_to_vulnerable_families,Provision of hygiene supplies to vulnerable families
training_capacity_building,training_of_professionals_to_deliver_landmines_and_other_explosive_weapons_related_risk_education,Training of professionals to deliver landmines and other explosive weapons related risk education
training_capacity_building,training_of_cp_workers_on_the_norms_and_standards_of_cp_adapt_new_tools_and_working_modalities_including_pss_pfa_and_covid_19_messages,"Training of CP workers on the norms and standards of CP, adapt new tools and working modalities, including PSS, PFA, and COVID-19 messages"
psychosocial_and_mental_health_support,provision_of_psychosocial_support_in_child_friendly_spaces_cfss_to_girls_boys_and_adults,"Provision of psychosocial support in Child Friendly Spaces (CFSs) to girls, boys and adults"
training_capacity_building,training_of_individuals_including_service_providers_and_other_stakeholders_on_mrm_reporting_cross_verification_referral_and_advocacy,"Training of individuals (including service providers and other stakeholders) on MRM reporting, cross verification, referral and advocacy"
social_economic_and_education_reintegration,referral_for_education_reintegration_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Referral for education reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG)
social_economic_and_education_reintegration,provision_of_social_reintegration_and_life_skills_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Provision of social reintegration and life skills assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG)
child_protection_supplies_and_emergency_kits,provision_of_winterization_clothes_kits_to_vulnerable_families,Provision of winterization clothes/ kits to vulnerable families
training_capacity_building,training_certification_of_justice_professionals_in_dealing_with_child_offenders_and_child_victims_in_jrc,Training/ certification of justice professionals in dealing with child offenders and child victims in JRC
adolescents_programming,establish_adolescents_clubs_boys_girls_clubs_girls_boys_separate_club_in_community_for_peer_to_peer_support,Establish Adolescents Clubs (boys & girls clubs/Girls & boys separate club) in community for peer to peer support
social_economic_and_education_reintegration,provision_of_economic_reintegration_assistance_to_children_and_youth_who_have_suffered_from_grave_child_rights_violations_including_former_caafag,Provision of economic reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAFAG)
integrated_case_management_services,provision_of_cash_as_a_component_of_the_case_management_services_to_children_and_adolescents_at_risk,Provision of cash as a component of the Case Management services to children and adolescents at risk
integrated_case_management_services,providing_uasc_with_interim_family_based_care_or_other_suitable_interim_alternative_care_arrangements,Providing UASC with interim family-based care or other suitable interim alternative care arrangements
integrated_case_management_services,provision_of_case_management_and_referrals_to_child_survivors_and_children_in_risk_of_sgbv_including_child_marriage,"Provision of case management and referrals to child survivors and children in risk of SGBV, including child marriage"
adolescents_programming,establish_adolescent_friendly_centers_adolescent_social_hubs_girls_friendly_facilities_to_provide_life_skills_new_generations_skills_computer_skills_internet_use_of_social_media_etc.,"Establish adolescent friendly centers (Adolescent Social Hubs & Girls Friendly facilities) to provide Life Skills & new generations skills (Computer skills, Internet, use of Social media etc.)"
case_management,children_with_protection_needs_referred_to_access_multi_sector_services_and/or_specialized_services,Children with protection needs referred to access multi-sector services and/or specialized services
case_management,conduct_family_tracing_and_reunification_of_unaccompanied_and_separated_children,Conduct family tracing and reunification of unaccompanied and separated children
integrated_case_management_services,registration_referrals_facilitation_of_access_to_services_and_follow_up_of_case_management_services_in_line_with_the_afghanistan_sop_for_case_management_for_children_at_risk,"Registration, referrals, facilitation of access to services, and  follow up of case management services in line with the Afghanistan SOP for Case Management for children at risk"
case_management,"capacity_building_of_cp_social_workers,_case_workers_and_volunteers_on_case_management,_safe_provision_of_alternative_care,_gbv_risk_mitigation,_psea,_code_of_conduct_and_child_safeguarding","Capacity building of CP social workers, case workers and volunteers on case management, safe provision of alternative care, GBV risk mitigation, PSEA, code of conduct and child safeguarding"
integrated_case_management_services,provision_of_family_tracing_and_reunification_frt_services_to_unaccompanied_and_separated_children_uasc,Provision of Family Tracing and Reunification (FRT) services to Unaccompanied and Separated Children (UASC)
case_management,identify_and_document_children_who_are_at_risk_and_need_case_management_services,Identify and document children who are at risk and need case management services
children_in_conflict,"advocate_and_respond_to_grave_child_rights_violations,_including_recruitment_and_children_in_conflict_with_the_law_and_children_in_detention,_jrcs_and/_or_prison","Advocate and respond to grave child rights violations, including recruitment and children in conflict with the law and children in detention, JRCs and/ or prison"
case_management,"provision_of_interim,_family/community_based_alternative_care_to_uasc_and_other_vulnerable_children_in_need_of_safe_care_alternatives","Provision of interim, family/community based alternative care to UASC and other vulnerable children in need of safe care alternatives"
"community_work,_advocacy_and_awareness",children_and_adults_having_access_to_safe_and_secure_channels_to_report_sgbv_and_sexual_exploitation_and_abuse,Children and adults having access to safe and secure channels to report SGBV and sexual exploitation and abuse
case_management,"support_children_at_risk_and_survivors,_through_an_individual_case_management_process_which_includes_comprehensive_assessment,_a_case_plan_and_regular_following_up","Support children at risk and survivors, through an individual case management process which includes comprehensive assessment, a case plan and regular following up"
"community_work,_advocacy_and_awareness","provide_technical_onsite_or_remote_direct_supervision_and_mentoring_to_national_cp_actors_on_cpie,_mhpss_and_covid_19_prevention_and_response","Provide technical onsite or remote direct supervision and mentoring to national CP actors on CPiE, MHPSS and COVID-19 prevention and response"
"community_work,_advocacy_and_awareness",community_groups/_structures_are_established_and_their_members_were_trained_to_prevent_and_respond_to_cp_concerns_in_their_own_community,Community groups/ structures are established and their members were trained to prevent and respond to CP concerns in their own community
"community_work,_advocacy_and_awareness","train_child_protection_actors_including_frontline_workers_and_volunteers/_community_networks_on_code_of_conduct,_psea,_gbv_risk_mitigation_and_child_safeguarding","Train child protection actors including frontline workers and volunteers/ community networks on Code of Conduct, PSEA, GBV risk mitigation and child safeguarding"
"community_work,_advocacy_and_awareness",provision_of_hygiene_supplies_to_children_and_care_givers,Provision of hygiene supplies to children and care givers
children_in_conflict,provide_socio_economic_assistance_to_children_and_adolescents_identified_within_communities_who_have_suffered_from_grave_child_rights_violations_including_those_former_caafag_to_successfully_reintegrate_into_their_communities,Provide socio-economic assistance to children and adolescents identified within communities who have suffered from grave child rights violations (including those former CAAFAG) to successfully reintegrate into their communities
"community_work,_advocacy_and_awareness",provide_community_based_awareness_raising_on_the_protection_of_children_and_positive_coping_mechanisms,Provide community-based awareness raising on the protection of children and positive coping mechanisms
psychosocial_support_for_children,"awareness_to_parents,_caretakers_and_children_on_the_prevention_of_covid_19,_stress_management,_positive_parenting_and_positive_coping_mechanisms","Awareness to parents, caretakers and children on the prevention of COVID-19, stress management, positive parenting and positive coping mechanisms"
psychosocial_support_for_children,"provide_psychoÂ­social_support_to_children_through_culturally,_gender__and_age_appropriate_activities","Provide psychoÂ­social support to children through culturally, gender- and age appropriate activities"
psychosocial_support_for_children,"provide_specialized_mhpss_services_to_children,_adolescents_and_caregivers","Provide specialized MHPSS services to children, adolescents and caregivers"
psychosocial_support_for_children,"provide_pss_activities_in_homes,_and_through_alternative_modalities_to_strengthen_coping_and_resilience_of_children_in_the_situation_of_covid_19","Provide PSS activities in homes, and through alternative modalities to strengthen coping and resilience of children in the situation of COVID-19"
psychosocial_support_for_children,"training_of_child_protection_workers_on_protection_principles,Â adopt_new_tools_cp,_working_modalities,_gbv,_positive_parenting,_pfa,_and_covid_19_messages_Â ","Training of child protection workers on protection principles,Â adopt new tools CP, working modalities, GBV, Positive parenting, PFA, and COVID-19 messages Â "
psychosocial_support_for_children,"awareness_raising_to_caregivers_and_community_members_to_promote_childrenâ€™s_wellbeing,_and_prevent_abuse,_neglect,_exploitation_and_violence_against_children","Awareness raising to caregivers and community members to promote childrenâ€™s wellbeing, and prevent abuse, neglect, exploitation and violence against children"
health_assistance,provision_of_integrated_gbv_health_services_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of integrated GBV Health services to at-risk IDP, returnee and non-displaced shock-affected GBV survivors"
legal_support,provision_of_legal_support_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of  legal support to at-risk IDP, returnee and non-displaced shock-affected GBV survivors"
awareness_raising_and_advocacy,community_outreach_and_dialogues_to_enhance_prevention_and_referrals_to_gbv_services,Community outreach and dialogues to enhance prevention and referrals to GBV services
distribution_of_dignity_kits_to_women_and_girls,distribution_of_dignity_kits_to_at_risk_idp_returnee_and_non_displaced_popuulations,"Distribution of dignity kits to at-risk IDP, returnee and non-displaced popuulations"
psychosocial_and_mental_health_assistance,provision_of_community_based_mhpss_services_to_at_risk_idp_returnee_and_non_displaced_shock_affected_gbv_survivors,"Provision of community based  MHPSS services to at-risk IDP, returnee and non-displaced shock-affected GBV survivors"
training_capacity_building,training_of_gbv_responders_on_gbv_minimum_standards__including_on_pss,"Training of GBV responders on GBV minimum standards , including on PSS"
training_capacity_building,training_and_mentoring_of_case_workers_on_how_to_prevent_and_respond_to_gbv,Training and mentoring of case workers on how to prevent and respond to GBV
integrated_case_management_services,provision_of_gbv_case_management_services_to_persons_at_risk_or_affected_by_gbv,Provision of GBV case management services to persons at risk or affected by GBV
livelihoods_and_recovery,lifeskills_and_socioeconomic_recovery_programming_for_gbv_prevention_and_response,Lifeskills and socioeconomic recovery programming for GBV prevention and response
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,non_cash,Non Cash
awareness_raising_and_advocacy,provision_of_iec_materials_to_women_men_girls_and_boy_on_gbv_prevention_and_response.,"Provision of IEC materials to women, men, girls and boy on GBV prevention and response."
case_management_by_case_management_committees,non_cash,Non Cash
referrals_for_other_gbv_services,non_cash,Non Cash
referrals_for_gbv_case_management,non_cash,Non Cash
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,non_cash,Non Cash
referrals_for_gbv_case_management,cash_vouchers,Cash / Vouchers
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,cash_vouchers,Cash / Vouchers
pss_services_by_counselors_in_health_facilities,non_cash,Non Cash
referrals_for_other_gbv_services,cash_vouchers,Cash / Vouchers
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,cash_vouchers,Cash / Vouchers
pss_services_by_counselors_in_health_facilities,cash_vouchers,Cash / Vouchers
case_management_by_case_management_committees,cash_vouchers,Cash / Vouchers
gbv_services_to_gbv_survivors,legal_services_to_gbv_survivors,Legal services to GBV survivors
gbv_services_to_gbv_survivors,psychosocial_support_to_gbv_survivors,Psychosocial support to GBV survivors
gbv_services_to_gbv_survivors,health_services_to_gbv_survivors,Health services to GBV survivors
protection_monitoring,people_reached_through_protection_monitoring,People reached through protection monitoring
psn_identification_assistance_and_referrals,referrals_to_other_service_providers,Referrals to other service providers
psn_identification_assistance_and_referrals,individual_protection_assistance_cash_or_in_kind,Individual Protection Assistance cash or in-kind
protection_monitoring,communities_reached_through_protection_monitoring,Communities reached through protection monitoring
psn_identification_assistance_and_referrals,individual_protection_assistance_cash,Individual Protection Assistance (cash)
psn_identification_assistance_and_referrals,legal_counsellign_and_assistance,Legal counsellign and assistance
psn_identification_assistance_and_referrals,individual_protection_assistance_in_kind,Individual Protection Assistance (in-kind)
psn_identification_assistance_and_referrals,community_centered_established,Community Centered established
psn_identification_assistance_and_referrals,people_reached_with_pss_services_in_person_or_remote_modality_individual_or_in_group,People reached with PSS services- In person or remote modality/ individual or in group
community_based_protection,awareness_raising_on_covid_19,Awareness Raising on  COVID-19
community_based_protection,awareness_raising_on_access_to_identity_and_civil_documentation,Awareness Raising on  access to identity and civil documentation
community_based_protection,community_based_protection_activities_protection_committees,Community based protection activities ( protection committees)
community_based_protection,awareness_raising_on_trafficking_in_person,Awareness Raising on trafficking in person
psn_identification_assistance_and_referrals,vulnerable_hh_received_one_off_cash_for_protection,Vulnerable HH received one-off cash for protection
community_based_protection,people_who_used_and_benefited_the_community_centre,People who used and benefited the community centre
community_based_protection,community_project_established_community_centers,Community project established  (community centers)
community_based_protection,protection_training_for_community_members,Protection training for community members
cash_for_protection_outcomes_unrestricted,cash_vouchers,Cash / Vouchers
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted",cash_vouchers,Cash / Vouchers
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted",non_cash,Non Cash
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,other_non_cash_direct_refferal,Other (non-cash)
community-based_protection-related_activities,other_non_cash,Other (non-cash)
post-arrival_assistance_to_returnees,unconditional_cash_post_arrival,Unconditional cash
post-arrival_assistance_to_returnees,other_non_cash_post_arrival,Other (non-cash)
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,unconditional_cash_direct_referral,Unconditional cash
community-based_protection-related_activities,unconditional_cash,Unconditional cash
information_counselling_and_legal_assistance,provision_of_tailored_legal_counselling_services_and_referrals_as_needed_and_legal_representation_in_front_of_formal_and_informal_justice_mechanisms,"Provision of tailored legal counselling services and referrals (as needed), and legal representation in front of formal and informal justice mechanisms"
information_counselling_and_legal_assistance,provision_of_legal_support_and_representation_in_front_of_formal_and_informal_justice_mechanisms_so_that_individuals_can_access_hlp_rights,Provision of legal support and representation in front of formal and informal justice mechanisms so that individuals can access HLP rights
training_capacity_building,provision_of_capacity_building_to_justice_actors_government_stakeholders_and_humanitarian_actors_on_hlp_rights_including_the_land_allocation_mechanism,"Provision of capacity building to justice actors, government stakeholders and humanitarian actors on HLP rights, including the land allocation mechanism"
information_counselling_and_legal_assistance,provision_of_awareness_on_hlp_rights_such_as_security_of_tenure_land_allocation_schemes_hlp_documentation_women's_hlp_rights_inheritance_rights_etc.,"Provision of awareness on HLP rights such as security of tenure, land allocation schemes, HLP documentation, women's HLP rights, inheritance rights, etc."
information_counselling_and_legal_assistance,provision_of_awareness_raising_advocacy_and_legal_counselling_so_that_individuals_can_access_hlp_rights,"Provision of awareness raising, advocacy and legal counselling so that individuals can access HLP rights"
provision_of_land_clearance,conducting_non_technical_survey,Conducting non-technical survey
provision_of_land_clearance,conducting_technical_survey,Conducting technical survey
provision_of_explosive_ordnance_disposal_eod,identification_and_marking_of_explosive_remnants_of_war_erw,Identification and marking of Explosive Remnants of War (ERW)
provision_of_explosive_ordnance_risk_education_eore,provision_of_printed_materials_with_mine_erw_risk_education_materials_posters_brochures_notebooks_pens_etc,"Provision of printed materials with mine/ERW risk education materials (posters, brochures, notebooks, pens, etc)"
provision_of_explosive_ordnance_risk_education_eore,provision_of_behavioural_change_focused_eore_programmes_are_provided_to_vulnerable_people.,Provision of behavioural change-focused EORE programmes are provided to vulnerable people.
provision_of_land_clearance,conducting_clearance,Conducting clearance
provision_of_explosive_ordnance_disposal_eod,removal_disposal_of_erw,Removal/disposal of ERW
fatp_stabilization_referrals_conflict,treatment_different_province_conflict,Treatment Different Province
fatp_stabilization_referrals_conflict,treatment_same_province_conflict,Treatment Same Province
fatp_stabilization_referrals_civilian,treatment_same_province_civilian,Treatment Same Province
fatp_stabilization_referrals_civilian,treatment_different_province_civilian,Treatment Different Province
local_materials_tarps_tools_package,regular,Regular Activity
tent_distribution_2_tarps_package,regular,Regular Activity
infrastructure_extension_settlement_space_covid_facilities,response_covid19,COVID-19 Response
rental_support_6_month_package,regular,Regular Activity
rental_support_3_month_package,response_covid19,COVID-19 Response
existing_shelter_upgrade_repair_package,regular,Regular Activity
rental_support_3_month_package,regular,Regular Activity
rental_support_6_month_package,response_covid19,COVID-19 Response
standard_nfi_kit_distribution,response_covid19,COVID-19 Response
existing_shelter_upgrade_repair_package,response_covid19,COVID-19 Response
emergency_shelter_self_construction_repair_toolkit_distribution,regular,Regular Activity
transitional_shelter_construction_2_room,regular,Regular Activity
standard_nfi_kit_distribution,regular,Regular Activity
permanent_shelter_construction_1_room,regular,Regular Activity
shelter_extension_kits_overcrowding_reduction,response_covid19,COVID-19 Response
transitional_shelter_construction_1_room,regular,Regular Activity
permanent_shelter_construction_2_room,regular,Regular Activity
winterization_package_heating_fuel,response_covid19,COVID-19 Response
winterization_package_heating_fuel,regular,Regular Activity
winterization_package_winter_clothing_kit,regular,Regular Activity
school_aged_children_winter_clothing_kits,response_covid19,COVID-19 Response
winterization_package_winter_clothing_kit,response_covid19,COVID-19 Response
training_awareness_drr,regular,Regular Activity
training_upgrading_repair_shelter,regular,Regular Activity
shelter_units_health_facilities,response_covid19,COVID-19 Response
shelter_units_quarantine_facilities,response_covid19,COVID-19 Response
heating_supplies_school_support,response_covid19,COVID-19 Response
shelter_units_home_isolation,response_covid19,COVID-19 Response
Risk communication and information campaigns on COVID-19,response_covid19,COVID-19 Response
hand_dug_well,response_drought,Drought Response
piped_water_network,response_drought,Drought Response
rainwater_system,response_drought,Drought Response
gravity_fed_water_system,response_drought,Drought Response
shallow_well,response_drought,Drought Response
solar_pumping_system,response_drought,Drought Response
water_kiosk,response_drought,Drought Response
piped_extension,response_drought,Drought Response
family_water_kit_distribution,response_drought,Drought Response
water_quality_testing,response_drought,Drought Response
water_supply_health_facility,response_drought,Drought Response
borehole,response_drought,Drought Response
water_supply_school,response_drought,Drought Response
water_tank,response_drought,Drought Response
water_tankering,response_drought,Drought Response
reverse_osmosis_system,response_drought,Drought Response
education_water,response_drought,Drought Response
latrine_stalls_communal,response_drought,Drought Response
water_treatment,response_drought,Drought Response
latrine_stalls_school,response_drought,Drought Response
water_filtration,response_drought,Drought Response
latrine_stalls_health_facility,response_drought,Drought Response
latrine_stalls_desludged,response_drought,Drought Response
latrine_stalls_decommissioned,response_drought,Drought Response
water_supply_community,response_drought,Drought Response
septic_tank,response_drought,Drought Response
sewer_line,response_drought,Drought Response
solid_waste_management,response_drought,Drought Response
drainage_provision,response_drought,Drought Response
education_vector_control_awareness,response_drought,Drought Response
washing_facilities,response_drought,Drought Response
education_hygiene_promotion_household_community,response_drought,Drought Response
latrine_cleaning_kit,response_drought,Drought Response
latrine_stalls_household,response_drought,Drought Response
hand_washing_facilities,response_drought,Drought Response
hygiene_promotion_health_facilities,response_drought,Drought Response
assessment_wash_school,response_drought,Drought Response
family_hygiene_kits_distributed,response_drought,Drought Response
assessment_wash_community,response_drought,Drought Response
evaluation_baseline,response_drought,Drought Response
disinfection_common_places_chlorine,response_drought,Drought Response
evaluation_endline,response_drought,Drought Response
evaluation_pdm,response_drought,Drought Response
evaluation_crm,response_drought,Drought Response
evaluation_results_monitoring,response_drought,Drought Response
assessment_wash_health_facility,response_drought,Drought Response
evaluation_kap,response_drought,Drought Response
evaluation_kii,response_drought,Drought Response
evaluation_csi,response_drought,Drought Response
evaluation_fgd,response_drought,Drought Response
assistance_through_voucher_distribution,response_drought,Drought Response
using_the_wash_gbv_checklist,response_drought,Drought Response
gbv_risk_discussion_with_female_before_assistance,response_drought,Drought Response
education_hygiene_promotion_school,response_drought,Drought Response
covid-19_mitigation_measures_in_placed,response_drought,Drought Response
assistance_through_cash_distribution,response_drought,Drought Response
receipt_for_technical_quality_assurance_by_the_authorities,response_drought,Drought Response
hand_dug_well,response_cholera,Cholera Response
borehole,response_cholera,Cholera Response
shallow_well,response_cholera,Cholera Response
rainwater_system,response_cholera,Cholera Response
gravity_fed_water_system,response_cholera,Cholera Response
piped_extension,response_cholera,Cholera Response
solar_pumping_system,response_cholera,Cholera Response
reverse_osmosis_system,response_cholera,Cholera Response
family_water_kit_distribution,response_cholera,Cholera Response
water_quality_testing,response_cholera,Cholera Response
water_supply_community,response_cholera,Cholera Response
water_supply_health_facility,response_cholera,Cholera Response
piped_water_network,response_cholera,Cholera Response
water_kiosk,response_cholera,Cholera Response
water_tankering,response_cholera,Cholera Response
education_water,response_cholera,Cholera Response
water_tank,response_cholera,Cholera Response
water_supply_school,response_cholera,Cholera Response
latrine_stalls_communal,response_cholera,Cholera Response
latrine_stalls_school,response_cholera,Cholera Response
latrine_stalls_household,response_cholera,Cholera Response
latrine_stalls_health_facility,response_cholera,Cholera Response
water_treatment,response_cholera,Cholera Response
latrine_stalls_decommissioned,response_cholera,Cholera Response
latrine_stalls_desludged,response_cholera,Cholera Response
septic_tank,response_cholera,Cholera Response
sewer_line,response_cholera,Cholera Response
water_filtration,response_cholera,Cholera Response
solid_waste_management,response_cholera,Cholera Response
washing_facilities,response_cholera,Cholera Response
education_hygiene_promotion_household_community,response_cholera,Cholera Response
education_hygiene_promotion_school,response_cholera,Cholera Response
drainage_provision,response_cholera,Cholera Response
hygiene_promotion_health_facilities,response_cholera,Cholera Response
hand_washing_facilities,response_cholera,Cholera Response
latrine_cleaning_kit,response_cholera,Cholera Response
family_hygiene_kits_distributed,response_cholera,Cholera Response
disinfection_common_places_chlorine,response_cholera,Cholera Response
assessment_wash_community,response_cholera,Cholera Response
education_vector_control_awareness,response_cholera,Cholera Response
evaluation_baseline,response_cholera,Cholera Response
assessment_wash_health_facility,response_cholera,Cholera Response
assessment_wash_school,response_cholera,Cholera Response
